Reg.-Nr.	Gebiet	Bereich	Leitgemeinde	Wiki-ID (Leitgemeinde)	Großlage	Einzellage	ha	über NN	Neigung	Exposition
6.2.1.008	Mosel	Obermosel	Oberbillig	Q636185	Gipfel	Hirtengarten	25	200-250	hängig-steil	WNW
6.2.1.009	Mosel	Obermosel	Oberbillig	Q636185	Gipfel	R�merberg	12	150-220	hängig-steil	WNW
6.2.1.010	Mosel	Obermosel	Nittel	Q594609	Gipfel	Hubertusberg	11	290-350	hängig-steil	SO
6.2.1.011	Mosel	Obermosel	Palzem	Q636128	Gipfel	Carlsfelsen	33	200-250	hängig-steil	NW
6.2.1.012	Mosel	Obermosel	Palzem	Q636128	Gipfel	Lay	69	150-200	hängig-steil	SO-SW
6.2.1.013	Mosel	Obermosel	Rehlingen	Q594609	Gipfel	Kapellenberg	58	130-250	hängig-steil	SW-W
6.2.1.014	Mosel	Obermosel	Temmels	Q636175	Gipfel	St. Georgshof	36	140-180	hängig-steil	WNW+SW
6.2.1.015	Mosel	Obermosel	Wasserliesch	Q553357	Gipfel	Albachtaler	7	150-200	hängig	SO+WNW
6.2.1.016	Mosel	Obermosel	Wasserliesch	Q553357	Gipfel	Reinig auf der Burg	7	140-150	flach	SO+WNW
6.2.1.017	Mosel	Obermosel	Wehr	Q636128	Gipfel	Rosenberg	33	130-190	hängig-steil	S-W-WNW
6.2.1.018	Mosel	Obermosel	Wellen	Q636208	Gipfel	Altenberg	13	140-260	hängig-steil	SW-NW
6.2.1.019	Mosel	Obermosel	Wincheringen	Q543611	Gipfel	Burg Warsberg	115	200-250	hängig-steil	S
6.2.2	Mosel	Obermosel	Mesenich	Q610893	K�nigsberg		68	130-270	hängig-steil	S
6.2.2.020	Mosel	Obermosel	Mesenich	Q610893	K�nigsberg		31	130-270	hängig-steil	S
6.2.2.021	Mosel	Obermosel	Igel	Q543497	K�nigsberg	Dullg�rten	6	160-200	hängig-steil	SSW
6.2.2.022	Mosel	Obermosel	Langsur	Q610893	K�nigsberg	Br�derberg	22	130-170	hängig-steil	S-SW
6.2.2.023	Mosel	Obermosel	Liersberg	Q20820333	K�nigsberg	Pilgerberg	4	259-270	hängig-steil	SSO
6.2.2.024	Mosel	Obermosel	Mesenich	Q610893	K�nigsberg	Held	5	140-240	hängig-steil	SW
6,3	Mosel	Burg Cochem					2954	65-270		
6.3.1.001	Mosel	Burg Cochem	Bruttig	Q574161	Goldbäumchen		313	75-260		
6.3.1.002	Mosel	Burg Cochem	Bruttig-Fankel	Q574161	Goldbäumchen	G�tterlay	10	70-160	steil	O-SO
6.3.1.003	Mosel	Burg Cochem	Sehl	Q502749	Goldbäumchen	Bischofsstuhl	1	100-190	steil	W
6.3.1.004	Mosel	Burg Cochem	Cochem	Q502749	Goldbäumchen	Herrenberg	4	100-200	steil	SO
6.3.1.005	Mosel	Burg Cochem	Sehl	Q502749	Goldbäumchen	Hochlay	1	110-180	steil	OSO
6.3.1.006	Mosel	Burg Cochem	Sehl	Q502749	Goldbäumchen	Klostergarten	7	90-200	hängig-steil	SW
6.3.1.007	Mosel	Burg Cochem	Cochem	Q502749	Goldbäumchen	Pinnerkreuzberg	1	90-230	steil	S-SW
6.3.1.008	Mosel	Burg Cochem	Cochem	Q502749	Goldbäumchen	Schloßberg	4	130-230	hängig-steil	SO
6.3.1.009	Mosel	Burg Cochem	Sehl	Q502749	Goldbäumchen	Sonnenberg	2	100-190	steil	W-WNW
6.3.1.010	Mosel	Burg Cochem	Briedern	Q1517	Goldbäumchen	Domherrenberg	19	85-170	steil	SO
6.3.1.011	Mosel	Burg Cochem	Ellenz-Polterdorf	Q566958	Goldbäumchen	Altarberg	46	80-165	hängig-steil	S
6.3.1.012	Mosel	Burg Cochem	Ernst	Q567608	Goldbäumchen	Feuerberg	22	80-180	hängig	W-NW
6.3.1.013	Mosel	Burg Cochem	Ernst	Q567608	Goldbäumchen	Kirchlay	28	60-90	flach	
6.3.1.014	Mosel	Burg Cochem	Klotten	Q269397	Goldbäumchen	Brauneberg	6	87-260	steil	S
6.3.1.015	Mosel	Burg Cochem	Klotten	Q269397	Goldbäumchen	Burg Coreidelsteiner	11	87-187	hängig	SO
6.3.1.016	Mosel	Burg Cochem	Klotten	Q269397	Goldbäumchen	Rosenberg	5	87-200	steil	SSO-SW
6.3.1.017	Mosel	Burg Cochem	Pommern	Q665867	Goldbäumchen	Rosenberg	22	80-150	hängig-steil	S
6.3.1.018	Mosel	Burg Cochem	Moselkern	Q651263	Goldbäumchen	�bereltzer	1	80-140	steil	SSO
6.3.1.019	Mosel	Burg Cochem	M�den	Q680967	Goldbäumchen	Funkenberg	27	78-200	hängig-steil	SSO
6.3.1.020	Mosel	Burg Cochem	M�den	Q680967	Goldbäumchen	St. Castorh�hle	11	80-160	hängig-steil	S
6.3.1.021	Mosel	Burg Cochem	Pommern	Q665867	Goldbäumchen	Goldberg	8	80-150	hängig-steil	S
6.3.1.022	Mosel	Burg Cochem	Pommern	Q665867	Goldbäumchen	Sonnenuhr	18	80-150	hängig-steil	S
6.3.1.023	Mosel	Burg Cochem	Karden	Q656110	Goldbäumchen	Dechantsberg	2	80-180	steil	S
6.3.1.024	Mosel	Burg Cochem	Karden	Q656110	Goldbäumchen	Juffermauer	2	80-150	hängig-steil	OSO
6.3.1.025	Mosel	Burg Cochem	Karden	Q656110	Goldbäumchen	M�nsterberg	1	80-200	hängig-steil	S=-S
6.3.1.026	Mosel	Burg Cochem	Ellenz-Polterdorf	Q566958	Goldbäumchen	Kurf�rst	48	80-105	hängig	SO
6.3.1.027	Mosel	Burg Cochem	Pommern	Q665867	Goldbäumchen	Zeisel	6	80-150	hängig-steil	S
6.3.2	Mosel	Burg Cochem	Zell	Q187500	Grafschaft		288	80-280		
6.3.2.028	Mosel	Burg Cochem	Alf	Q568556	Grafschaft	Burggraf	5	95-150	hängig-steil	S-SSW
6.3.2.029	Mosel	Burg Cochem	Alf	Q568556	Grafschaft	Herrenberg	3	95-150	hängig-steil	SSO
6.3.2.030	Mosel	Burg Cochem	Alf	Q568556	Grafschaft	H�lle	3	100-120	steil	ONO
6.3.2.031	Mosel	Burg Cochem	Alf	Q568556	Grafschaft	Kapellenberg	2	95-120	hängig-steil	O-SO
6.3.2.032	Mosel	Burg Cochem	Alf	Q568556	Grafschaft	Katzenkopf	1	95-150	hängig-steil	SO
6.3.2.033	Mosel	Burg Cochem	Alf	Q568556	Grafschaft	Kronenberg	2	100-180	hängig-steil	SW
6.3.2.034	Mosel	Burg Cochem	Bremm	Q113378	Grafschaft	Calmont	19	94-280	hängig-steil	S
6.3.2.035	Mosel	Burg Cochem	Bremm	Q113378	Grafschaft	Laurentiusberg	16	95-275	hängig-steil	NO-S
6.3.2.036	Mosel	Burg Cochem	Bremm	Q113378	Grafschaft	Schlemmertr�pfchen	12	100-280	hängig-steil	OSO
6.3.2.037	Mosel	Burg Cochem	Bremm	Q113378	Grafschaft	Frauenberg	16	95-180	steil	SW
6.3.2.038	Mosel	Burg Cochem	Bullay	Q546257	Grafschaft	Brautrock	11	100-210	hängig-steil	S-W
6.3.2.039	Mosel	Burg Cochem	Bullay	Q546257	Grafschaft	Graf Bey�el-Herrenberg	6	105-240	steil	S-W
6.3.2.040	Mosel	Burg Cochem	Bullay	Q546257	Grafschaft	Kroneberg	2	140-280	steil	SSO
6.3.2.041	Mosel	Burg Cochem	Bullay	Q546257	Grafschaft	Sonneck	2	130-260	hängig-steil	SW
6.3.2.042	Mosel	Burg Cochem	Eller	Q547805	Grafschaft	Bienenlay	6	80-180	hängig-steil	SSW-WS
6.3.2.043	Mosel	Burg Cochem	Ediger	Q547805	Grafschaft	Elzhofberg	15	80-250	hängig-steil	SW
6.3.2.044	Mosel	Burg Cochem	Eller	Q547805	Grafschaft	Engelstr�pfchen	2	100-200	hängig-steil	ONO-O
6.3.2.045	Mosel	Burg Cochem	Ediger	Q547805	Grafschaft	Feuerberg	17	80-260	hängig-steil	S-SW
6.3.2.046	Mosel	Burg Cochem	Eller	Q547805	Grafschaft	H�ll	4	100-200	hängig-steil	SO
6.3.2.047	Mosel	Burg Cochem	Ediger	Q547805	Grafschaft	Osterl�mmchen	15	80-250	hängig-steil	SW
6.3.2.048	Mosel	Burg Cochem	Eller	Q547805	Grafschaft	Pfirsichgarten	9	80-250	hängig-steil	S-WSW
6.3.2.049	Mosel	Burg Cochem	Eller	Q547805	Grafschaft	Sch�tzenlay	1	80-200	steil	SO
6.3.2.050	Mosel	Burg Cochem	Neef	Q572494	Grafschaft	Petersberg	9	95-170	hängig-steil	SW
6.3.2.051	Mosel	Burg Cochem	Neef	Q572494	Grafschaft	Rosenberg	18	95-170	hängig-steil	W
6.3.2.052	Mosel	Burg Cochem	Nehren	Q572471	Grafschaft	R�merberg	72	90-240	hängig-steil	S-SSO
6.3.2.053	Mosel	Burg Cochem	St. Aldegund	Q653902	Grafschaft	Himmelreich	5	95-160	steil	OSO
6.3.2.054	Mosel	Burg Cochem	St. Aldegund	Q653902	Grafschaft	Klosterkammer	11	95-270	hängig-steil	O-SSO
6.3.2.055	Mosel	Burg Cochem	St. Aldegund	Q653902	Grafschaft	Palmberg-Terrassen	2	95-270	steil	SO
6.3.2.056	Mosel	Burg Cochem	Zell	Q187500	Grafschaft		1	80-280		
6.3.2.057	Mosel	Burg Cochem	Eller	Q547805	Grafschaft	Kapplay	1	170-270	steil	SW
6.3.3	Mosel	Burg Cochem			Rosenhang		292	80-270		
6.3.3.058	Mosel	Burg Cochem	Beilstein	Q652238	Rosenhang	Schloßberg	3	86-240	hängig-steil	SW + WNW
6.3.3.059	Mosel	Burg Cochem	Bremm	Q113378	Rosenhang	Abtei Kloster Stuben	14	95-180	hängig	W
6.3.3.060	Mosel	Burg Cochem	Briedern	Q1517	Rosenhang	Kapellenberg	1	95-180	steil	SW
6.3.3.061	Mosel	Burg Cochem	Briedern	Q1517	Rosenhang	R�mergarten	36	92-110	hängig	NW
6.3.3.062	Mosel	Burg Cochem	Briedern	Q1517	Rosenhang	Servatiusberg	6	100-120	hängig	NO
6.3.3.063	Mosel	Burg Cochem	Bruttig-Fankel	Q574161	Rosenhang	Kapellenberg	32	100-130	hängig	WNW
6.3.3.064	Mosel	Burg Cochem	Fankel	Q574161	Rosenhang	Layenberg	11	70-170	steil	WSW
6.3.3.065	Mosel	Burg Cochem	Bruttig	Q574161	Rosenhang	Rathausberg	10	90-170	hängig-steil	SO-W
6.3.3.066	Mosel	Burg Cochem	Cond	Q502749	Rosenhang	Rosenberg	3	100-200	hängig-steil	WSW
6.3.3.067	Mosel	Burg Cochem	Bruttig	Q574161	Rosenhang	Pfarrgarten	6	70-170	steil	S-WSW
6.3.3.068	Mosel	Burg Cochem	Cond	Q502749	Rosenhang	Arzlay	1	90-200	hängig-steil	W
6.3.3.069	Mosel	Burg Cochem	Cond	Q502749	Rosenhang	Nikolausberg	6	90-150	hängig-steil	S
6.3.3.070	Mosel	Burg Cochem	Fankel	Q574161	Rosenhang	Rosenberg	7	70-170	steil	SW
6.3.3.071	Mosel	Burg Cochem	Ellenz	Q566958	Rosenhang	Silberberg	3	80-130	steil	SO
6.3.3.072	Mosel	Burg Cochem	Ellenz	Q566958	Rosenhang	Woogberg	1	80-130	steil	SW
6.3.3.073	Mosel	Burg Cochem	Mesenich	Q610893	Rosenhang	Abteiberg	40	89-190	hängig	WSW-WN
6.3.3.074	Mosel	Burg Cochem	Mesenich	Q610893	Rosenhang	Deuslay	7	100-270	steil	SW
6.3.3.075	Mosel	Burg Cochem	Mesenich	Q610893	Rosenhang	Goldgr�bchen	20	100-230	hängig-steil	WSW
6.3.3.076	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang	Bienengarten	4	95-120	hängig-steil	WNW
6.3.3.077	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang	Rosenberg	9	100-140	hängig-steil	NNW
6.3.3.078	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang	Vogteiberg	2	110-160	hängig-steil	W-NW
6.3.3.079	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang	Wahrsager	3	100-140	hängig-steil	SSO
6.3.3.080	Mosel	Burg Cochem	Trais	Q6566110	Rosenhang	Greth	1	80-220	hängig-steil	S-WSW
6.3.3.081	Mosel	Burg Cochem	Trais	Q6566110	Rosenhang	Kapellenberg	10	80-200	hängig-steil	SO-S-NW
6.3.3.082	Mosel	Burg Cochem	Trais	Q6566110	Rosenhang	Treppchen	2	80-165	hängig-steil	SO-S, W
6.3.3.083	Mosel	Burg Cochem	Valwig	Q656297	Rosenhang	Herrenberg	20	90-200	hängig-steil	SO-SW
6.3.3.084	Mosel	Burg Cochem	Valwig	Q656297	Rosenhang	Schwarzenberg	8	90-150	hängig-steil	SSO
6.3.3.085	Mosel	Burg Cochem	Eller	Q547805	Rosenhang	Stubener Klostersegen	11	89-180	hängig-steil	NNO + S-
6.3.3.086	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang	Lay	15	89-135	hängig-steil	S-SW
6.3.4	Mosel	Burg Cochem			Schwarze Katz		333	100-200		
6.3.4.087	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Burglay-Felsen	28	100-200	hängig-steil	SW
6.3.4.088	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Domherrenberg	25	100-200	hängig-steil	SO
6.3.4.089	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Geisberg	9	100-200	hängig-steil	SO
6.3.4.090	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Kreuzlay	20	100-200	hängig-steil	SSO
6.3.4.091	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Nussberg	10	100-200	hängig-steil	SSW
6.3.4.092	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Petersborn-Kabertchen	12	100-200	hängig-steil	WSW
6.3.4.093	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Pommerell	10	100-200	hängig-steil	WSW
6.3.4.094	Mosel	Burg Cochem	Kaimt	Q187500	Schwarze Katz	Marienburger	11	100-200	hängig-steil	NNO
6.3.4.095	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	R�merquelle	71	100-200	hängig-steil	O-SO
6.3.4.096	Mosel	Burg Cochem	Kaimt	Q187500	Schwarze Katz	Rosenborn	23	100-180	hängig-steil	NO-O
6.3.4.097	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Adler	16	100-200	hängig-steil	S-SSW
6.3.4.098	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Fettgarten	18	100-200	hängig-steil	SSO
6.3.4.099	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Klosterberg	34	100-200	hängig-steil	SO
6.3.4.100	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	K�nigslay-Terrassen	8	100-200	steil	S
6.3.4.101	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Stephansberg	33	100-200	hängig-steil	SSO
6.3.4.102	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Sonneck	5	100-160	hängig	SW
6.3.5	Mosel	Burg Cochem	Winningen	Q822358	Weinhex		251	65-210		
6.3.5.103	Mosel	Burg Cochem	Alken	Q305288	Weinhex	Bleidenberg	4	65-200	hängig-steil	S-WSW
6.3.5.104	Mosel	Burg Cochem	Alken	Q305288	Weinhex	Burgberg	10	70-170	hängig-steil	WNW
6.3.5.105	Mosel	Burg Cochem	Alken	Q305288	Weinhex	Hunnenstein	3	65-200	hängig-steil	SW-WNW
6.3.5.106	Mosel	Burg Cochem	Burgen	Q679415	Weinhex	Bischofstein	1	85-135	hängig	SW-WNW
6.3.5.107	Mosel	Burg Cochem	Dieblich	Q565313	Weinhex	Heilgraben	2	100-200	hängig-steil	SW
6.3.5.108	Mosel	Burg Cochem	G�ls	Q1777938	Weinhex	Bienengarten	7	80-140	hängig-steil	SO
6.3.5.109	Mosel	Burg Cochem	G�ls	Q1777938	Weinhex	K�nigsfels	15	65-110	hängig-steil	SO
6.3.5.110	Mosel	Burg Cochem	G�ls	Q1777938	Weinhex	Marienberg	4	75-135	hängig-steil	SO
6.3.5.111	Mosel	Burg Cochem	Hatzenport	Q554243	Weinhex	Burg Bischofstein	5	80-200	hängig-steil	SO
6.3.5.112	Mosel	Burg Cochem	Hatzenport	Q554243	Weinhex	Kirchberg	6	82-200	steil	S
6.3.5.113	Mosel	Burg Cochem	Hatzenport	Q554243	Weinhex	Stolzenberg	2	82-200	steil	S
6.3.5.114	Mosel	Burg Cochem	Kattenes	Q1736818	Weinhex	Steinchen	3	70-170	hängig-steil	OSO
6.3.5.115	Mosel	Burg Cochem	Kattenes	Q1736818	Weinhex	Fahrberg	1	80-150	steil	O
6.3.5.116	Mosel	Burg Cochem	Kobern	Q553347	Weinhex	Fahrberg	4	68-160	steil	SO
6.3.5.117	Mosel	Burg Cochem	Gondorf	Q553347	Weinhex	Fuchsh�hle	2	85-150	steil	SW
6.3.5.118	Mosel	Burg Cochem	Gondorf	Q553347	Weinhex	G�ns	2	70-140	steil	SSO
6.3.5.119	Mosel	Burg Cochem	Gondorf	Q553347	Weinhex	Kehrberg	1	90-170	steil	SSW
6.3.5.120	Mosel	Burg Cochem	Gondorf	Q553347	Weinhex	Schloßberg	10	70-160	steil	O-S
6.3.5.121	Mosel	Burg Cochem	Kobern	Q553347	Weinhex	Wei�enberg	8	70-180	hängig-steil	SO-SSW
6.3.5.122	Mosel	Burg Cochem	Lay	Q1328018	Weinhex	Hamm 	9	67-140	hängig-steil	WSW
6.3.5.123	Mosel	Burg Cochem	Lay	Q1328018	Weinhex	Hubertusborn	3	75-100	hängig-steil	WSW-WN
6.3.5.124	Mosel	Burg Cochem	Lehmen	Q567585	Weinhex	Ausoniusstein	3	80-180	hängig-steil	SO
6.3.5.125	Mosel	Burg Cochem	Lehmen	Q567585	Weinhex	Klosterberg	10	90-170	hängig-steil	SSO
6.3.5.126	Mosel	Burg Cochem	Lehmen	Q567585	Weinhex	Lay	2	80-150	hängig-steil	
6.3.5.127	Mosel	Burg Cochem	Lehmen	Q567585	Weinhex	W�rzlay	7	80-180	hängig-steil	O-SO
6.3.5.128	Mosel	Burg Cochem	L�f	Q553970	Weinhex	Goldblume	4	75-170	hängig-steil	SO-S
6.3.5.129	Mosel	Burg Cochem	L�f	Q553970	Weinhex	Sonnenring	3	75-180	hängig-steil	OSO
6.3.5.130	Mosel	Burg Cochem	Niederfell	Q553445	Weinhex	F�chern	9	72-140	hängig-steil	W
6.3.5.131	Mosel	Burg Cochem	Niederfell	Q553445	Weinhex	Goldlay	3	73-140	hängig-steil	WNW
6.3.5.132	Mosel	Burg Cochem	Niederfell	Q553445	Weinhex	Kahllay	4	72-140	hängig-steil	WSW
6.3.5.133	Mosel	Burg Cochem	Oberfell	Q647068	Weinhex	Brauneberg	1	90-200	hängig-steil	S
6.3.5.134	Mosel	Burg Cochem	Oberfell	Q647068	Weinhex	Rosenberg	1	75-200	hängig-steil	W-NW
6.3.5.135	Mosel	Burg Cochem	Winningen	Q822358	Weinhex	Br�ckst�ck	8	70-200	steil	SSO
6.3.5.136	Mosel	Burg Cochem	Winningen	Q822358	Weinhex	Domgarten	56	70-170	hängig-steil	SO-S
6.3.5.137	Mosel	Burg Cochem	Winningen	Q822358	Weinhex	Hamm	12	75-210	steil	S-SW
6.3.5.138	Mosel	Burg Cochem	Winningen	Q822358	Weinhex	R�ttgen	11	70-180	steil	SSO
6.3.5.139	Mosel	Burg Cochem	Brodenbach	Q168070	Weinhex	Neuwingert	1	80-140	hängig	SO
6.3.5.140	Mosel	Burg Cochem	Winningen	Q822358	Weinhex	Uhlen	14	65-210	steil	SW-S
6,4	Mosel	Ruwertal					190	130-330		
6.4.1.	Mosel	Ruwertal	Trier	Q3138	gro�lagenfrei		190	130-330		
6.4.1.001	Mosel	Ruwertal	Morscheid	Q656840	gro�lagenfrei	Dominikanerberg	5	200-280	steil	SW
6.4.1.002	Mosel	Ruwertal	Kasel	Q659935	gro�lagenfrei	Herrenberg	7	180-280	hängig-steil	SSO-W
6.4.1.003	Mosel	Ruwertal	Kasel	Q659935	gro�lagenfrei	Hitzlay	8	210-290	hängig-steil	SO-SW
6.4.1.004	Mosel	Ruwertal	Kasel	Q659935	gro�lagenfrei	Kehrnagel	12	200-300	hängig-steil	SW
6.4.1.005	Mosel	Ruwertal	Kasel	Q659935	gro�lagenfrei	Nies'chen	14	170-240	hängig-steil	SSW
6.4.1.006	Mosel	Ruwertal	Kasel	Q659935	gro�lagenfrei	Timpert	1	210-230	hängig	SO
6.4.1.007	Mosel	Ruwertal	Lorenzhof	Q659878	gro�lagenfrei	Felslay	3	130-190	hängig-steil	WSW
6.4.1.008	Mosel	Ruwertal	Lorenzhof	Q659878	gro�lagenfrei	M�uerchen	3	130-160	hängig-steil	SW
6.4.1.009	Mosel	Ruwertal	Maximin Gr�nhaus	Q659878	gro�lagenfrei	Abtsberg	14	180-240	hängig	SO
6.4.1.010	Mosel	Ruwertal	Maximin Gr�nhaus	Q659878	gro�lagenfrei	Bruderberg	1	137-180	hängig	SO
6.4.1.011	Mosel	Ruwertal	Mertesdorf	Q659878	gro�lagenfrei	Herrenberg	30	130-240	hängig-steil	WSW
6.4.1.012	Mosel	Ruwertal	Sommerau	Q631137	gro�lagenfrei	Schloßberg	5	180-280	steil	S
6.4.1.013	Mosel	Ruwertal	Eitelsbach	Q316811	R�merlay	Marienholz	31	170-250	hängig-steil	SW-W
6.4.1.014	Mosel	Ruwertal	Ruwer	Q316811	gro�lagenfrei	Maximiner	1	170-255	steil	OSO
6.4.1.015	Mosel	Ruwertal	Waldrach	Q569807	gro�lagenfrei	Ehrenberg	4	250-330	hängig	SSW-W
6.4.1.016	Mosel	Ruwertal	Waldrach	Q569807	gro�lagenfrei	Jesuitengarten	1	170-230	hängig-steil	SW
6.4.1.017	Mosel	Ruwertal	Waldrach	Q569807	gro�lagenfrei	Krone	12	170-320	hängig-steil	SW
6.4.1.018	Mosel	Ruwertal	Waldrach	Q569807	gro�lagenfrei	Laurentiusberg	5	170-280	hängig-steil	S
6.4.1.019	Mosel	Ruwertal	Waldrach	Q569807	R�merlay	Meisenberg	9	180-320	hängig-steil	SO-S
6.4.1.020	Mosel	Ruwertal	Waldrach	Q569807	gro�lagenfrei	Sonnenberg	7	260-320	steil	SW
6.4.1.021	Mosel	Ruwertal	Eitelsbach	Q316811	gro�lagenfrei	Karth�userhofberg	17	170-250	hängig-steil	SSO-SSW
6,5	Mosel	Saar					729			
6.5.1	Mosel	Saar			Scharzberg		729	130-380		
6.5.1.001	Mosel	Saar	Filzen	Q47087896	Scharzberg	Herrenberg	5	155-210	hängig-steil	WSW
6.5.1.002	Mosel	Saar	Wiltingen	Q161930	Scharzberg	Kupp	50	135-270	hängig-steil	SW
6.5.1.003	Mosel	Saar	Ayl	Q186199	Scharzberg	Scheidterberg	3	145-320	hängig-steil	SO-S
6.5.1.004	Mosel	Saar	Niedermennig	Q503185	Scharzberg	Herrenberg	6	200-280	hängig-steil	SSO
6.5.1.005	Mosel	Saar	Filzen	Q47087896	Scharzberg	Pulchen	2	142-192	hängig-steil	W
6.5.1.006	Mosel	Saar	Filzen	Q47087896	Scharzberg	Steinberger	4	160-240	hängig-steil	SO
6.5.1.007	Mosel	Saar	Filzen	Q47087896	Scharzberg	Unterberg	6	140-170	hängig-steil	SO-S
6.5.1.008	Mosel	Saar	Filzen	Q47087896	Scharzberg	Urbelt	4	150-220	steil	SW
6.5.1.009	Mosel	Saar	Kanzem	Q569862	Scharzberg	Sonnenberg	19	134-250	hängig-steil	SW-WNW
6.5.1.010	Mosel	Saar	Kanzem	Q569862	Scharzberg	H�recker	1	140-250	steil	SO
6.5.1.011	Mosel	Saar	Kanzem	Q569862	Scharzberg	Schloßberg	1	134-250	hängig-steil	O
6.5.1.012	Mosel	Saar	Niedermennig	Q503185	Scharzberg	Sonnenberg	27	200-280	hängig-steil	SW
6.5.1.013	Mosel	Saar	Kanzem	Q569862	Scharzberg	Altenberg	19	134-250	hängig-steil	SO
6.5.1.014	Mosel	Saar	Kastel-Staadt	Q553490	Scharzberg	Maximiner Pr�lat	4	150-250	steil	SO-SSO
6.5.1.015	Mosel	Saar	K�nen	Q1795916	Scharzberg	Fels	3	142-240	hängig	O
6.5.1.016	Mosel	Saar	K�nen	Q1795916	Scharzberg	Kirchberg	1	140-240	hängig	O
6.5.1.017	Mosel	Saar	Konz	Q503185	Scharzberg	Auf der Wiltinger Kupp	10	180-250	hängig-steil	SO-SW
6.5.1.018	Mosel	Saar	Konz	Q503185	Scharzberg	Euchariusberg	7	160-250	hängig-steil	SW
6.5.1.019	Mosel	Saar	Falkenstein	Q818576	Scharzberg	Hofberg	14	180-240	flach	
6.5.1.020	Mosel	Saar	Konz	Q503185	Scharzberg	Karth�user Klosterberg	3	140-250	hängig-steil	NO
6.5.1.021	Mosel	Saar	Krettnach	Q503185	Scharzberg	Altenberg	20	220-300	hängig-steil	
6.5.1.022	Mosel	Saar	Krettnach	Q503185	Scharzberg	Euchariusberg	41	220-300	hängig-steil	SW-W
6.5.1.023	Mosel	Saar	Serrig	Q656819	Scharzberg	Herrenberg	21	160-360	steil	SSW
6.5.1.024	Mosel	Saar	Ayl	Q186199	Scharzberg	Sonnenberg	21	190-220	steil	SO-S-WS
6.5.1.025	Mosel	Saar	Oberemmel	Q47037444	Scharzberg	Agritiusberg	3	170-180	hängig	SO
6.5.1.026	Mosel	Saar	Oberemmel	Q47037444	Scharzberg	Altenberg	11	200-320	hängig-steil	SO
6.5.1.027	Mosel	Saar	Oberemmel	Q47037444	Scharzberg	H�tte	5	190-230	hängig-steil	SO
6.5.1.028	Mosel	Saar	Oberemmel	Q47037444	Scharzberg	Karlsberg	32	190-260	hängig	SW
6.5.1.029	Mosel	Saar	Oberemmel	Q47037444	Scharzberg	Raul	2	160-180	steil	SO
6.5.1.030	Mosel	Saar	Oberemmel	Q47037444	Scharzberg	Rosenberg	32	170-270	hängig-steil	SW
6.5.1.031	Mosel	Saar	Ockfen	Q643198	Scharzberg	Bockstein	53	160-300	hängig-steil	S-W+O-O
6.5.1.032	Mosel	Saar	Ockfen	Q643198	Scharzberg	Geisberg	5	200-380	hängig-steil	SSO-S
6.5.1.033	Mosel	Saar	Saarburg	Q543639	Scharzberg	Antoniusbrunnen	7	190-290	steil	S
6.5.1.034	Mosel	Saar	Saarburg	Q543639	Scharzberg	Bergschl��chen	3	190-280	steil	SW-SO
6.5.1.035	Mosel	Saar	Saarburg	Q543639	Scharzberg	Schloßberg	1	160-230	steil	O
6.5.1.036	Mosel	Saar	Saarburg	Q543639	Scharzberg	Fuchs	6	180-310	steil	SO
6.5.1.037	Mosel	Saar	Saarburg	Q543639	Scharzberg	Klosterberg	2	150-210	hängig-steil	SW
6.5.1.038	Mosel	Saar	Saarburg	Q543639	Scharzberg	Kupp	10	170-310	steil	SO-SW
6.5.1.039	Mosel	Saar	Saarburg	Q543639	Scharzberg	Rausch	9	160-240	steil	SO-S
6.5.1.040	Mosel	Saar	Schoden	Q646456	Scharzberg	Herrenberg	9	120-250	hängig-steil	W-NW
6.5.1.041	Mosel	Saar	Schoden	Q646456	Scharzberg	Saarfeilser Marienberg	3	140-175	steil	SSO
6.5.1.042	Mosel	Saar	Serrig	Q656819	Scharzberg	Antoniusberg	9	160-240	hängig-steil	O
6.5.1.043	Mosel	Saar	Serrig	Q656819	Scharzberg	Heiligenborn	6	240-310	steil	SSW
6.5.1.044	Mosel	Saar	Ayl	Q186199	Scharzberg	Herrenberg	7	200-240	steil	SW
6.5.1.045	Mosel	Saar	Ayl	Q186199	Scharzberg	Kupp	7	170-310	steil	SO-SW
