Reg.-Nr.	Gebiet	Bereich	Leitgemeinde	Wiki-ID (Leitgemeinde)	Großlage	Einzellage	ha	über NN	Neigung	Exposition
6.1.2.048	Mosel	Bernkastel	Andel	Q155622	Kurfürstenlay	Goldschatz	4	110-150	hängig	NNO
6.1.2.049	Mosel	Bernkastel	Maring-Noviand	Q566744	Kurfürstenlay	Lambertuslay	32	150-240	hängig-steil	SO
6.1.3	Mosel	Bernkastel	Piesport	Q375762	Michelsberg		1106	110-300		
6.1.3.050	Mosel	Bernkastel	Minheim	Q524796	Michelsberg	Burglay	17	120-260	hängig-steil	O-S
6.1.3.051	Mosel	Bernkastel	Minheim	Q524796	Michelsberg	Kapellchen	47	120-220	hängig-steil	ONO-SO
6.1.3.052	Mosel	Bernkastel	Minheim	Q524796	Michelsberg	Rosenberg	70	120-220	hängig-steil	SO
6.1.3.053	Mosel	Bernkastel	Neumagen	Q572352	Michelsberg	Engelgrube	53	120-170	hängig	W
6.1.3.054	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Grafenberg	8	120-250	steil	O-OSO
6.1.3.055	Mosel	Bernkastel	Dhron	Q572352	Michelsberg	Großer Hengelberg	1	140-180	steil	SSW
6.1.3.056	Mosel	Bernkastel	Dhron	Q572352	Michelsberg	Hofberger	85	120-200	steil	SW
6.1.3.057	Mosel	Bernkastel	Neumagen	Q572352	Michelsberg	Laudamusberg	27	120-260	hängig-steil	SSW-W
6.1.3.058	Mosel	Bernkastel	Neumagen	Q572352	Michelsberg	Roseng�rtchen	26	120-265	steil	SW-W
6.1.3.059	Mosel	Bernkastel	Dhron	Q572352	Michelsberg	Roterd	48	120-290	hängig-steil	W
6.1.3.060	Mosel	Bernkastel	Neumagen	Q572352	Michelsberg	Sonnenuhr	1	130-170	steil	SW
6.1.3.061	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Domherr	4	120-150	steil	SSO
6.1.3.062	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Falkenberg	32	150-300	hängig-steil	SO-S
6.1.3.063	Mosel	Bernkastel	Niederemmel	Q375762	Michelsberg	G�rtchen	1	190-220	steil	SW
6.1.3.064	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Goldtr�pfchen	66	125-160	steil	SO-S-SW
6.1.3.065	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	G�nterslay	27	150-290	steil	S-W
6.1.3.066	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Schubertslay	1	125-150	steil	SSO
6.1.3.067	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Treppchen	291	120-260	hängig-steil	O-N-W
6.1.3.068	Mosel	Bernkastel	Rivenich	Q552448	Michelsberg	Brauneberg	6	170-237	hängig-steil	SW
6.1.3.069	Mosel	Bernkastel	Rivenich	Q552448	Michelsberg	Geisberg	6	240-300	hängig-steil	S-W
6.1.3.070	Mosel	Bernkastel	Rivenich	Q552448	Michelsberg	Niederberg	19	140-240	hängig-steil	S-W
6.1.3.071	Mosel	Bernkastel	Rivenich	Q552448	Michelsberg	Rosenberg	31	220-300	hängig-steil	W-NW
