Gebiet	Ort	Lage	Typ	X
Mosel	Mesenich	Deuslay	EL	1
Mosel	Mesenich	Goldgrübchen	EL	1
Mosel	Mesenich	Kleinberg	AL	1
Mosel	Mesenich	Königsberg	EL	1
Mosel	Mesenich	Rosenberg	AL	1
Mosel	Mesenich	Rosenhang	GL	0
Mosel	Mesenich	Held	EL	0
Mosel	Mesenich	Königsberg	GL	1
Mosel	Metternich	Herrenberg	AL	1
Mosel	Metternich	Marienberg	EL	1
Mosel	Metternich	Weinhex	GL	0
Mosel	Minheim	Burglay	EL	1
Mosel	Minheim	Günterslay	EL	1
Mosel	Minheim	Kapellchen	EL	1
Mosel	Minheim	Michelsberg	GL	0
Mosel	Minheim	Rosenberg	EL	1
Mosel	Minheim	Taubenhäuser	AL	0
Mosel	Monzel	Kätzchen	EL	1
Mosel	Monzel	Kurfürstlay	GL	0
Mosel	Monzel	Paulinsberg	AL	0
Mosel	Monzel	Paulinslay	EL	1
Mosel	Morscheid	Dominikanerberg	EL	0
Mosel	Morscheid	Römerlay	GL	0
Mosel	Morscheid	Schloß Marienlayer Bildstock	AL	1
Mosel	Morscheid	Schloß Marienlayer Walzlay	AL	1
Mosel	Moselkern	Brader	AL	0
Mosel	Moselkern	Furt	AL	1
Mosel	Moselkern	Goldbäumchen	GL	1
Mosel	Moselkern	Kirchberg	EL	1
Mosel	Moselkern	Raitsch	AL	1
Mosel	Moselkern	Ratein	AL	1
Mosel	Moselkern	Rateiner Steinbruch	AL	1
Mosel	Moselkern	Rosenberg	EL	1
Mosel	Moselkern	Übereltzer	EL	1
Mosel	Moselkern	Übereltzer-Ratein	AL	0
Mosel	Moselweiß	Hamm	EL	1
Mosel	Moselweiß	Weinhex	GL	0
Mosel	Müden	Castorhöhle	AL	1
Mosel	Müden	Flachlay	AL	0
Mosel	Müden	Funkenberg	EL	1
Mosel	Müden	Goldbäumchen	GL	1
Mosel	Müden	Großlay	EL	1
Mosel	Müden	Leckmauer	EL	1
Mosel	Müden	Mannwerk	AL	0
Mosel	Müden	Rosenberg	AL	0
Mosel	Müden	Sonnenring	EL	1
Mosel	Müden	St. Castorhöhle	EL	1
Mosel	Mülheim	Amtgarten	EL	1
Mosel	Mülheim	Berg	AL	0
Mosel	Mülheim	Bitsch	AL	0
Mosel	Mülheim	Elisenberg	EL	1
Mosel	Mülheim	Elisenberger Steinberg	AL	0
Mosel	Mülheim	Helenenkloster	EL	1
Mosel	Mülheim	Johannisberg	AL	1
Mosel	Mülheim	Kurfürstlay	GL	0
Mosel	Mülheim	Leyenkaul	AL	1
Mosel	Mülheim	Sonnenberg-Bitsch	AL	0
Mosel	Mülheim	Sonnenlay	EL	1
Mosel	Mülheim	Sonnenlay-Held	AL	1
Mosel	Neef	Frauenberg	EL	1
Mosel	Neef	Grafschaft	GL	1
Mosel	Neef	Mühlenberg	AL	1
Mosel	Neef	Petersberg	EL	1
Mosel	Neef	Rosenberg	EL	1
Mosel	Neef	Sauend	AL	0
Mosel	Nehren	Grafschaft	GL	1
Mosel	Nehren	Römerberg	EL	1
Mosel	Nehren	Römerkeller	AL	1
Mosel	Nennig	Römerberg	EL	1
Mosel	Nennig	Schloß Bübinger	GL	0
Mosel	Nennig	Schloßberg	EL	1
Mosel	Neumagen	Bock	AL	0
Mosel	Neumagen	Engelgrube	EL	1
Mosel	Neumagen	Held	AL	1
Mosel	Neumagen	Hengelberg	AL	1
Mosel	Neumagen	Katerloch	AL	0
Mosel	Neumagen	Laienberg	AL	0
Mosel	Neumagen	Landmannsberg	AL	0
Mosel	Neumagen	Laudamusberg	EL	1
Mosel	Neumagen	Leienberg	AL	0
Mosel	Neumagen	Leienberg Schlucht	AL	1
Mosel	Neumagen	Martyrbach	AL	0
Mosel	Neumagen	Michelsberg	GL	0
Mosel	Neumagen	Nußwingert	EL	1
Mosel	Neumagen	Paradies	AL	1
Mosel	Neumagen	Pichter	AL	0
Mosel	Neumagen	Rosengärtchen	EL	1
Mosel	Neumagen	Sonnenuhr	EL	1
Mosel	Neumagen	Treppchen	AL	1
Mosel	Niederemmel	Freudenburg	AL	1
Mosel	Niederemmel	Gärtchen	EL	0
Mosel	Niederemmel	Kreuzwingert	EL	0
Mosel	Niederemmel	Michelsberg	GL	0
Mosel	Niederfell	Fächern	EL	1
Mosel	Niederfell	Goldlay	EL	1
Mosel	Niederfell	Kahllay	EL	1
Mosel	Niederfell	Rotmauer	AL	0
Mosel	Niederfell	Weinhex	GL	1
Mosel	Niederleuken	Fuchs	AL	1
Mosel	Niederleuken	Kupp	AL	1
Mosel	Niederleuken	Stirn	AL	1
Mosel	Niedermennig	Euchariusberg	EL	1
Mosel	Niedermennig	Herrenberg	EL	1
Mosel	Niedermennig	Klosterberg	AL	1
Mosel	Niedermennig	Scharzberg	GL	0
Mosel	Niedermennig	Sonnenberg	EL	1
Mosel	Niedermennig	Zuckerberg	AL	1
Mosel	Nittel	Berg	AL	0
Mosel	Nittel	Blümchen	EL	1
Mosel	Nittel	Geisberg	AL	1
Mosel	Nittel	Gipfel	GLa	1
Mosel	Nittel	Grubenberg	AL	1
Mosel	Nittel	Hubertusberg	EL	0
Mosel	Nittel	Kapellchen	AL	0
Mosel	Nittel	Kleinberg	AL	1
Mosel	Nittel	Leiterchen	EL	1
Mosel	Nittel	Oberberg-Blümchen	AL	1
Mosel	Nittel	Rochusfels	EL	1
Mosel	Nittel	Spiesberg	AL	1
Mosel	Nittel	Stolzenwingert	AL	1
Mosel	Oberbillig	Gipfel	GL	0
Mosel	Oberbillig	Hirtengarten	EL	1
Mosel	Oberbillig	Römerberg	EL	1
Mosel	Oberemmel	Abteihof	AL	1
Mosel	Oberemmel	Agritiusberg	EL	1
Mosel	Oberemmel	Altenberg	EL	1
Mosel	Oberemmel	Brixiusberg	AL	1
Mosel	Oberemmel	Falmet	AL	0
Mosel	Oberemmel	Herrenberg	AL	0
Mosel	Oberemmel	Hütte	EL	1
Mosel	Oberemmel	Junkersberg	AL	0
Mosel	Oberemmel	Karlsberg	EL	1
Mosel	Oberemmel	Raul	EL	1
Mosel	Oberemmel	Rosenberg	EL	1
Mosel	Oberemmel	Scharzberg	GLa	1
Mosel	Oberemmel	Scharzhof	AL	1
Mosel	Oberemmel	Schock	AL	0
Mosel	Oberemmel	Schockberg	AL	0
Mosel	Oberfell	(In der) Olk	AL	1
Mosel	Oberfell	Brauneberg	EL	1
Mosel	Oberfell	Goldlay	EL	1
Mosel	Oberfell	Hochmauer	AL	0
Mosel	Oberfell	Rosenberg	EL	1
Mosel	Oberfell	Weinhex	GL	0
Mosel	Ockfen	Bockstein	EL	1
Mosel	Ockfen	Bockstein Neuwies	AL	0
Mosel	Ockfen	Bockstein Zickelgarten	AL	1
Mosel	Ockfen	Geisberg	EL	1
Mosel	Ockfen	Heppenstein	AL	1
Mosel	Ockfen	Herrenberg	AL	1
Mosel	Ockfen	Herrenberg-Kupp	AL	1
Mosel	Ockfen	Kupp	ELx	1
Mosel	Ockfen	Neuwies	AL	1
Mosel	Ockfen	Oberherrenberg	AL	1
Mosel	Ockfen	Scharzberg	GL	1
Mosel	Ockfen	Zickelgarten	ELx	1
Mosel	Olewig	(In der) Rahn	AL	1
Mosel	Olewig	Geisberg	AL	1
Mosel	Olewig	Geisberg Kupp	AL	1
Mosel	Olewig	Juffer	AL	1
Mosel	Olewig	Retzgrube	AL	1
Mosel	Olewig	Thiergarten Dreispitz	AL	0
Mosel	Olewig	Thiergarten-Hofberg	AL	0
Mosel	Olewig	Thiergärtner Auf'm Köpfchen	AL	1
Mosel	Olewig	Thiergärtner Hauptberg	AL	0
Mosel	Olewig	Vollmühle	AL	1
Mosel	Olkenbach	Herzlay	EL	0
Mosel	Olkenbach	Hubertuslay	EL	1
Mosel	Olkenbach	Niederberg	AL	1
Mosel	Olkenbach	Schwarzlay	GL	0
Mosel	Onsdorf	Gipfel	GL	0
Mosel	Onsdorf	Hubertusberg	EL	0
Mosel	Osann	Hofberg	AL	0
Mosel	Osann	Kirchlay	EL	1
Mosel	Osann	Kurfürstlay	GL	0
Mosel	Osann	Rosenberg	EL	1
Mosel	Ottbergen	Kaisergarten	AL	1
Mosel	Palzem	Carlsfelsen	EL	1
Mosel	Palzem	Gipfel	GL	0
Mosel	Palzem	Lay	EL	1
Mosel	Pellingen	Herrgottsrock	EL	1
Mosel	Pellingen	Jesuitengarten	EL	1
Mosel	Pellingen	Jesuitenhofberg	AL	0
Mosel	Pellingen	Scharzberg	GL	0
Mosel	Perl	Hasenberg	EL	1
Mosel	Perl	Kräuterwingert	AL	1
Mosel	Perl	Schloß Bübinger	GL	1
Mosel	Perl	St. Quirinusberg	EL	1
Mosel	Piesport	Berg	AL	1
Mosel	Piesport	Domherr	EL	1
Mosel	Piesport	Dompichter	AL	1
Mosel	Piesport	Falkenberg	EL	1
Mosel	Piesport	Gärtchen	EL	1
Mosel	Piesport	Goldtröpfchen	EL	1
Mosel	Piesport	Goldtröpfchen-Lay	AL	0
Mosel	Piesport	Goldtröpfchen-Treppchen	AL	1
Mosel	Piesport	Grafenberg	ELa	1
Mosel	Piesport	Günterslay	EL	1
Mosel	Piesport	Hohlweid	AL	1
Mosel	Piesport	Kirchenpfad	AL	0
Mosel	Piesport	Klosterkrone	AL	0
Mosel	Piesport	Kreuzwingert	EL	1
Mosel	Piesport	Lay	AL	1
Mosel	Piesport	Lay	AL	1
Mosel	Piesport	Michelsberg	GLa	1
Mosel	Piesport	Pichter	AL	1
Mosel	Piesport	Pichter-Treppchen	AL	1
Mosel	Piesport	Schubertslay	EL	1
Mosel	Piesport	Schubertslay im Goldtröpfchen	AL	1
Mosel	Piesport	Standel	AL	1
Mosel	Piesport	Taubengarten	AL	1
Mosel	Piesport	Treppchen	EL	1
Mosel	Piesport	vor dem Berg	AL	1
Mosel	Piesport	Wehr/Weer	AL	0
Mosel	Platten	Grube	AL	1
Mosel	Platten	Klosterberg	EL	1
Mosel	Platten	Neuberg	AL	1
Mosel	Platten	Rotlay	EL	1
Mosel	Platten	Schwarzlay	GL	0
Mosel	Pölich	Held	EL	1
Mosel	Pölich	St. Michael	GL	0
Mosel	Pölich	Südlay	ELx	1
Mosel	Poltersdorf	Altarberg	EL	1
Mosel	Poltersdorf	Goldbäumchen	GL	0
Mosel	Poltersdorf	Kurfürst	EL	1
Mosel	Poltersdorf	Rosenhang	GL	0
Mosel	Poltersdorf	Rüberberg	AL	0
Mosel	Poltersdorf	Rüberberger Domherrenberg	EL	1
Mosel	Poltersdorf	Silberberg	EL	0
Mosel	Poltersdorf	Woogberg	EL	0
Mosel	Pommern	Berg	AL	0
Mosel	Pommern	Goldbäumchen	GL	1
Mosel	Pommern	Goldberg	EL	1
Mosel	Pommern	Greismund	AL	1
Mosel	Pommern	Kapellenberg	AL	1
Mosel	Pommern	Kern	AL	1
Mosel	Pommern	Marsberg	AL	1
Mosel	Pommern	Marslay	AL	0
Mosel	Pommern	Rosenberg	EL	1
Mosel	Pommern	Sonnenuhr	EL	1
Mosel	Pommern	Zeisel	EL	1
Mosel	Pünderich	Auf dem Staden	AL	1
Mosel	Pünderich	Dörnchesweg	AL	1
Mosel	Pünderich	Fahrlay	AL	0
Mosel	Pünderich	Falkenlay	AL	0
Mosel	Pünderich	Goldlay	EL	1
Mosel	Pünderich	Marienburg	EL	1
Mosel	Pünderich	Marienburg-Fahrlay	AL	0
Mosel	Pünderich	Marienburg-Treppchen	AL	1
Mosel	Pünderich	Nonnengarten	EL	1
Mosel	Pünderich	Petersberg	AL	0
Mosel	Pünderich	Rosenberg	EL	1
Mosel	Pünderich	Rosengarten	AL	0
Mosel	Pünderich	Vom Heißen Stein	GL	0
Mosel	Ralingen	Herrenwingert	AL	0
Mosel	Rehlingen	Gipfel	GL	0
Mosel	Rehlingen	Haarberg	AL	0
Mosel	Rehlingen	Kapellenberg	EL	1
Mosel	Rehlingen	Kleinberg	AL	0
Mosel	Reil	Berg	AL	1
Mosel	Reil	Falkenberg	AL	0
Mosel	Reil	Falklay	EL	1
Mosel	Reil	Feldgarten	AL	0
Mosel	Reil	Goldberg	AL	1
Mosel	Reil	Goldlay	ELa	1
Mosel	Reil	Goldlay-Hufeisen	AL	0
Mosel	Reil	Goldlay-Reilkirch	AL	1
Mosel	Reil	Gräfinstück	AL	1
Mosel	Reil	Heißenstein	AL	1
Mosel	Reil	Kirchenstück	AL	1
Mosel	Reil	Klostergut Ringelsteiner	AL	0
Mosel	Reil	Moullay-Hofberg	EL	1
Mosel	Reil	Mullay-Pfefferberg	AL	0
Mosel	Reil	Pfarrgarten	AL	0
Mosel	Reil	Pfefferberg	AL	1
Mosel	Reil	Sorentberg	EL	1
Mosel	Reil	Sorentberger Königsgrab	AL	0
Mosel	Reil	Sorentberger Schiefer	AL	1
Mosel	Reil	Staden	AL	1
Mosel	Reil	Vom Heißen Stein	GLa	1
Mosel	Reil	Weingrube	AL	1
Mosel	Riol	Probstberg	GL	0
Mosel	Riol	Römerberg	EL	1
Mosel	Riol	Schildkopf	AL	1
Mosel	Rivenich	Brauneberg	EL	1
Mosel	Rivenich	Geisberg	EL	1
Mosel	Rivenich	Michelsberg	GL	0
Mosel	Rivenich	Niederberg	EL	1
Mosel	Rivenich	Ritsch	AL	1
Mosel	Rivenich	Rosenberg	EL	1
Mosel	Riveris	Heiligenhäuschen	EL	1
Mosel	Riveris	Kuhnchen	EL	1
Mosel	Riveris	Römerlay	GL	0
Mosel	Roden	Westwall	AL	1
Mosel	Ruwer	Maximiner	EL	1
Mosel	Ruwer	Maximiner Herrenberg	AL	0
Mosel	Ruwer	Maximiner Kupp	AL	0
Mosel	Ruwer	Maximiner Neuenberg	AL	1
Mosel	Ruwer	Maximiner Treppchen	AL	1
Mosel	Ruwer	Maximinerberg	AL	0
Mosel	Ruwer	Pauliner	AL	0
Mosel	Ruwer	Römerlay	GL	0
Mosel	Ruwer	Sonnenberg	EL	0
Mosel	Saarbrücken	über den Deutschmühlen	AL	1
Mosel	Saarburg	Antoniusbrunnen	EL	1
Mosel	Saarburg	Bergschlößchen	EL	1
Mosel	Saarburg	Fuchs	EL	1
Mosel	Saarburg	Klosterberg	EL	1
Mosel	Saarburg	Kupp	EL	1
Mosel	Saarburg	Laurentiusberg	EL	1
Mosel	Saarburg	Layenkaul	AL	1
Mosel	Saarburg	Mühlberg	AL	0
Mosel	Saarburg	Rausch	EL	1
Mosel	Saarburg	Scharzberg	GL	1
Mosel	Saarburg	Schloßberg	EL	1
Mosel	Saarburg	Stirn	EL	1
Mosel	Saarburg	Vogelsang	AL	1
Mosel	Saarburg-Beurig	Hubertusberg	AL	1
Mosel	Schleich	Klosterberg	EL	1
Mosel	Schleich	Sonnenberg	EL	1
Mosel	Schleich	St. Michael	GL	1
Mosel	Schoden	Herrenberg	EL	1
Mosel	Schoden	Kreuzberg	AL	1
Mosel	Schoden	Saarfeilser Marienberg	EL	1
Mosel	Schoden	Scharzberg	GL	0
Mosel	Schweich	Annaberg	EL	1
Mosel	Schweich	Burgmauer	EL	1
Mosel	Schweich	Hasenpfad	AL	1
Mosel	Schweich	Herrenberg	EL	1
Mosel	Schweich	Königsberg	AL	1
Mosel	Schweich	Probstberg	GL	1
Mosel	Sehl	Goldbäumchen	GL	0
Mosel	Sehl	Hochlay	EL	0
Mosel	Sehlem	Michelsberg	GL	0
Mosel	Sehlem	Rotlay	EL	1
Mosel	Sehndorf	Klosterberg	EL	1
Mosel	Sehndorf	Marienberg	EL	1
Mosel	Sehndorf	Schloß Bübinger	GL	0
Mosel	Senhals	Goldbäumchen	GL	1
Mosel	Senhals	Grafschaft	GL	0
Mosel	Senhals	Römerberg	EL	1
Mosel	Senhals	Rüberberger Domherrenberg	EL	0
Mosel	Senheim	Bienengarten	EL	1
Mosel	Senheim	Goldgrube	AL	0
Mosel	Senheim	Kuckuckslay	AL	1
Mosel	Senheim	Lay	EL	1
Mosel	Senheim	Rosenberg	EL	1
Mosel	Senheim	Rosenhang	GL	1
Mosel	Senheim	Rüberberger Frauenberg	AL	1
Mosel	Senheim	Schwarzberg	AL	1
Mosel	Senheim	Schwarzlay	AL	0
Mosel	Senheim	Vogteiberg	EL	1
Mosel	Senheim	Wahrsager	EL	1
Mosel	Serrig	Antoniusberg	EL	1
Mosel	Serrig	Antoniusberg-Pfarrgarten	AL	0
Mosel	Serrig	Heiligenborn	EL	1
Mosel	Serrig	Herrenberg	EL	1
Mosel	Serrig	Herrenberg-Würtzberg	AL	1
Mosel	Serrig	Herrenberg-Würtzgarten	AL	1
Mosel	Serrig	Hindenburglay	AL	1
Mosel	Serrig	Hirtzberg	AL	0
Mosel	Serrig	Hoeppslei	EL	1
Mosel	Serrig	König Johann Berg	EL	1
Mosel	Serrig	Kupp	EL	1
Mosel	Serrig	Saarsteiner Kirchenpfad	AL	0
Mosel	Serrig	Saarsteiner Schloßberg	AL	1
Mosel	Serrig	Scharzberg	GL	0
Mosel	Serrig	Schloß Marienlay	AL	0
Mosel	Serrig	Schloß Marienlayer Bildstock	AL	0
Mosel	Serrig	Schloß Marienlayer Königskrone	AL	0
Mosel	Serrig	Schloß Saarfelser Schloßberg	EL	1
Mosel	Serrig	Schloß Saarfelser Vogelsang	AL	1
Mosel	Serrig	Schloß Saarsteiner	EL	1
Mosel	Serrig	Vogelsang	EL	1
Mosel	Serrig	Walzlay	AL	0
Mosel	Serrig	Wingertsheck	AL	1
Mosel	Serrig	Würtzberg	EL	1
Mosel	Sommerau	Burggraben	AL	1
Mosel	Sommerau	Römerlay	GL	0
Mosel	Sommerau	Schloßberg	EL	1
Mosel	Springiersbach	Klosterberg	EL	1
Mosel	Springiersbach	Schwarzlay	GL	0
Mosel	St. Aldegund	Eigenberg	AL	1
Mosel	St. Aldegund	Grafschaft	GL	1
Mosel	St. Aldegund	Hangelberg	AL	0
Mosel	St. Aldegund	Himmelreich	EL	1
Mosel	St. Aldegund	Höttlay	AL	1
Mosel	St. Aldegund	Kammer	AL	0
Mosel	St. Aldegund	Klosterkammer	EL	1
Mosel	St. Aldegund	Königsstück	AL	1
Mosel	St. Aldegund	Lay	AL	0
Mosel	St. Aldegund	Mönchstrunk	AL	0
Mosel	St. Aldegund	Palmberg Terrassen	EL	1
Mosel	St. Aldegund	Rosenberg	AL	1
Mosel	St. Matthias	Römerlay	GL	0
Mosel	St. Matthias	St. Matheiser	EL	1
Mosel	Starkenburg	Rosengarten	EL	1
Mosel	Starkenburg	Schwarzlay	GL	0
Mosel	Starkenburg	Unterburg	AL	1
Mosel	Tarforst	Andreasberg	EL	0
Mosel	Tarforst	Römerlay	GL	0
Mosel	Tawern	Felsberg	AL	0
Mosel	Temmels	Altenberg	AL	0
Mosel	Temmels	Gipfel	GL	0
Mosel	Temmels	Münsterstadt	EL	1
Mosel	Temmels	St. Georgshof	EL	1
Mosel	Thörnich	Enggaß	EL	1
Mosel	Thörnich	Lay	AL	0
Mosel	Thörnich	Ritsch	EL	1
Mosel	Thörnich	Schießlay	EL	1
Mosel	Thörnich	St. Michael	GL	1
Mosel	Thörnich	Würzberg	AL	1
Mosel	Traben	Backhaus	AL	1
Mosel	Traben	Bergpächter	AL	1
Mosel	Traben	Gaispfad	EL	1
Mosel	Traben	Geyerslay	AL	1
Mosel	Traben	Hofberg	AL	1
Mosel	Traben	Königsberg	EL	1
Mosel	Traben	Kräuterhaus	AL	1
Mosel	Traben	Kräuterhaus Brünnchen	AL	0
Mosel	Traben	Kräuterhaus Kreuz	AL	1
Mosel	Traben	Kräuterhaus Pfarrgarten	AL	1
Mosel	Traben	Kräuterhaus-Steinbach	AL	1
Mosel	Traben	Lausa Zollturm	AL	0
Mosel	Traben	Pfarrgarten Blenter	AL	0
Mosel	Traben	Priewingert	AL	1
Mosel	Traben	Rißbacher Backhaus	AL	1
Mosel	Traben	Schönebock	AL	0
Mosel	Traben	Taubenhaus	AL	0
Mosel	Traben	Unterburg	AL	1
Mosel	Traben	Unterburger Gaispfad	AL	1
Mosel	Traben	Weingarten Bestlaychen	AL	0
Mosel	Traben	Würzgarten	AL	1
Mosel	Traben	Würzgarten Bergpichter	AL	1
Mosel	Traben	Würzgarten Bestlay	AL	0
Mosel	Traben	Würzgarten Rickelsberg	AL	0
Mosel	Traben	Zollhaus	AL	0
Mosel	Traben	Zollturm	AL	1
Mosel	Traben Rißbach	Rickelsberg	AL	1
Mosel	Traben-Trarbach	Hofberg	AL	0
Mosel	Traben-Trarbach	Klösterle	AL	1
Mosel	Traben-Trarbach	Kräuterhaus Pfarrgarten	AL	0
Mosel	Traben-Trarbach	Kreuzberg-Münchenroth	AL	0
Mosel	Traben-Trarbach	Liebeskummer	AL	1
Mosel	Traben-Trarbach	Neuberg	AL	0
Mosel	Traben-Trarbach	Pfarrgarten	AL	0
Mosel	Traben-Trarbach	Rißbacher	AL	0
Mosel	Traben-Trarbach	Schloßberg Lampher	AL	0
Mosel	Traben-Trarbach	Ungsberg Pfarrwingert	AL	0
Mosel	Traben-Trarbach	Würzgarten-Geierslay	AL	0
Mosel	Trarbach	Am Graacher Pfad	AL	0
Mosel	Trarbach	Burgberg	EL	1
Mosel	Trarbach	Gaispfad	EL	0
Mosel	Trarbach	Halsberg	AL	1
Mosel	Trarbach	Herbstberg	AL	1
Mosel	Trarbach	Hühnerberg	EL	1
Mosel	Trarbach	Karlsberg	AL	0
Mosel	Trarbach	Kästel-Halsberg	AL	1
Mosel	Trarbach	Klösterle	AL	1
Mosel	Trarbach	Kräuterhaus	EL	1
Mosel	Trarbach	Kreuz	AL	0
Mosel	Trarbach	Kreuzberg	EL	1
Mosel	Trarbach	Kreuzberg-Münchroth	AL	1
Mosel	Trarbach	Lacherküppchen	AL	0
Mosel	Trarbach	Münchenroth	AL	1
Mosel	Trarbach	Schloßberg	EL	1
Mosel	Trarbach	Schloßberg-Burgberg	EL	1
Mosel	Trarbach	Schloßberg-Felschen	AL	0
Mosel	Trarbach	Schloßberg-Lampher	AL	1
Mosel	Trarbach	Schloßberg-Schloßgraben	AL	0
Mosel	Trarbach	Schwarzlay	GL	0
Mosel	Trarbach	Taubenhaus	EL	1
Mosel	Trarbach	Ungsberg	EL	1
Mosel	Trarbach	Weg	AL	0
Mosel	Trarbach	Würzgarten	EL	1
Mosel	Trarbach	Zollturm	EL	0
Mosel	Treis	Castel	AL	1
Mosel	Treis	Elslay	AL	0
Mosel	Treis	Gretchen	AL	1
Mosel	Treis	Greth	EL	1
Mosel	Treis	Kapellenberg	EL	1
Mosel	Treis	Rosenhang	GL	0
Mosel	Treis	Sonnenberg	AL	0
Mosel	Treis	Treppchen	EL	1
Mosel	Trier	Andreasberg 	EL	1
Mosel	Trier	Augenscheiner	EL	1
Mosel	Trier	Augenscheiner Stübchen	AL	1
Mosel	Trier	Augenscheiner Treppchen	AL	1
Mosel	Trier	Benediktinerberg	EL	1
Mosel	Trier	Burgberg	EL	1
Mosel	Trier	Deutschherrenberg	EL	1
Mosel	Trier	Deutschherrenköpfchen	EL	1
Mosel	Trier	Domherrenberg	EL	1
Mosel	Trier	Jesuiten-Kreuzgarten	AL	0
Mosel	Trier	Jesuitenwingert	EL	1
Mosel	Trier	Kreuzberg	AL	1
Mosel	Trier	Kurfürstenhofberg	EL	1
Mosel	Trier	Neuberg	AL	1
Mosel	Trier	Niesgen	AL	1
Mosel	Trier	Römerberg	AL	0
Mosel	Trier	Römerlay	GL	1
Mosel	Trier	St. Martiner Hofberg	EL	1
Mosel	Trier	St. Maximiner Kreuzberg	EL	1
Mosel	Trier	St. Maximiner Pichter	AL	1
Mosel	Trier	St. Petrusberg	EL	1
Mosel	Trier	Thiergarten	AL	1
Mosel	Trier	Thiergarten Felsköpfchen	EL	1
Mosel	Trier	Thiergarten Hofberg	AL	1
Mosel	Trier	Thiergarten Unterm Kreuz	EL	1
Mosel	Trittenheim	(Im) Neuberg	AL	0
Mosel	Trittenheim	(St.) Laurentiusberg	AL	1
Mosel	Trittenheim	Altärchen	EL	1
Mosel	Trittenheim	Apotheke	EL	1
Mosel	Trittenheim	Clemensberg	AL	1
Mosel	Trittenheim	Fahrfels	AL	1
Mosel	Trittenheim	Falkenberg	AL	1
Mosel	Trittenheim	Felsenkopf	EL	1
Mosel	Trittenheim	Jungheld	AL	1
Mosel	Trittenheim	Layenberg	AL	0
Mosel	Trittenheim	Leiterchen	EL	1
Mosel	Trittenheim	Michelsberg	GL	0
Mosel	Trittenheim	Neuberg	AL	1
Mosel	Trittenheim	Olk	AL	1
Mosel	Trittenheim	Sonnteil	AL	0
Mosel	Trittenheim	Weierbach	AL	1
Mosel	Trittenheim	Zwergfeld	AL	0
Mosel	Unterstarkenburg	Zollturm	AL	1
Mosel	Ürzig	Berg	AL	0
Mosel	Ürzig	Goldwingert	EL	1
Mosel	Ürzig	Ma(r)xberg	AL	0
Mosel	Ürzig	Oberberg-Blümchen	AL	0
Mosel	Ürzig	Schwarzberg	AL	0
Mosel	Ürzig	Schwarzlay	GLa	1
Mosel	Ürzig	Treppchen	AL	1
Mosel	Ürzig	Urglück	AL	1
Mosel	Ürzig	Würzgarten	EL	1
Mosel	Ürzig	Würzgarten-Altar	AL	0
Mosel	Ürzig	Würzgarten-Kranklay	AL	0
Mosel	Ürzig	Würzgarten-Sonnenuhr	AL	1
Mosel	Valwig	Hahnenberg	AL	1
Mosel	Valwig	Herrenberg	EL	1
Mosel	Valwig	Palmberg	EL	1
Mosel	Valwig	Rosenhang	GL	1
Mosel	Valwig	Schwarzenberg	EL	1
Mosel	Valwig	Sonnenhofberg	AL	0
Mosel	Valwig	Teilberg	AL	1
Mosel	Valwig	Valwigberger Herrenberg	AL	1
Mosel	Valwig	Valwigsberger Lay	AL	0
Mosel	Veldenz	Carlsberg	EL	1
Mosel	Veldenz	Elisenberg	EL	1
Mosel	Veldenz	Geisberg	AL	0
Mosel	Veldenz	Grafschafter Sonnenberg	EL	1
Mosel	Veldenz	Hammer	AL	1
Mosel	Veldenz	Helenenberg	AL	1
Mosel	Veldenz	Kirchberg	EL	1
Mosel	Veldenz	Kurfürstlay	GL	0
Mosel	Veldenz	Mühlberg	EL	1
Mosel	Veldenz	Neuberg	AL	0
Mosel	Veldenz	Schloßberg	AL	0
Mosel	Veldenz	Steinberg	AL	0
Mosel	Waldrach	Almos	AL	1
Mosel	Waldrach	Doktorberg	EL	1
Mosel	Waldrach	Ehrenberg	EL	1
Mosel	Waldrach	Fuchssprung	AL	0
Mosel	Waldrach	Gracherberg	AL	0
Mosel	Waldrach	Hahnenberg	AL	1
Mosel	Waldrach	Hauptberg	AL	0
Mosel	Waldrach	Heidenkopf	AL	1
Mosel	Waldrach	Heiligenhäuschen	EL	1
Mosel	Waldrach	Heiligenhäuschen im Fallet	AL	0
Mosel	Waldrach	Hubertusberg	EL	1
Mosel	Waldrach	Jesuitengarten	EL	1
Mosel	Waldrach	Jungfernberg	EL	1
Mosel	Waldrach	Königskrone	AL	0
Mosel	Waldrach	Krone	EL	1
Mosel	Waldrach	Kurfürstenberg	EL	1
Mosel	Waldrach	Laurentiusberg	EL	1
Mosel	Waldrach	Meisenberg	EL	1
Mosel	Waldrach	Römerlay	GL	0
Mosel	Waldrach	Scheiterberg	AL	0
Mosel	Waldrach	Schloß Marienlay	AL	1
Mosel	Waldrach	Schloß Marienlayer Königskrone	AL	1
Mosel	Waldrach	Sonnenberg	EL	1
Mosel	Waldrach	Wingert (Großen und langen)	AL	0
Mosel	Wasserbillig	Bocksberg	AL	1
Mosel	Wasserbillig	Boxberg	AL	0
Mosel	Wasserliesch	Albachtaler	EL	1
Mosel	Wasserliesch	Gipfel	GL	0
Mosel	Wasserliesch	Reinig auf der Burg	EL	1
Mosel	Wawern	Goldberg	EL	1
Mosel	Wawern	Herrenberger	EL	1
