LN	WLV-ID	LWK-RLP (Lagennr.)	DWI (Reg.Nr.)	Weinlagen (ID)	Status	Typ	Gebiet	Bereich	Leitgemeinde	Wikidata-ID (Leitgemeinde)	Gemarkung	Großlage	Wikidata-ID (Großlage)	Ort	Wikidata-ID (Ort)	Einzellage	Wikidata-ID (Einzellage)	Rebfläche (DWI, 2006)	Rebfläche (LWK-RLP, 2020)	über NN (DWI)	Neigung (DWI)	Exposition (DWI)	Boden (DWI)	DWI-2006	LWK-RLP-2020	Weinlagen-2022	DFWS-2022
142	wlv-618132		6.1.8.132		aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530		Schwarzlay		k.A.	k.A.	Thomasberg		2		120-240	steil	WSW		1			
143	wlv-618133		6.1.8.133		aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530		Schwarzlay		k.A.	k.A.	Wendelstück		12		120-180	steil	WSW		1			
144	wlv-618134		6.1.8.134		aktuell	Einzellage	Mosel	Bernkastel	Dreis	Q563974		Schwarzlay		k.A.	k.A.	Johannisberg		1		165-260	hängig	SO		1			
145	wlv-618135		6.1.8.135		aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838		Schwarzlay		k.A.	k.A.	Batterieberg		1		110-200	steil	WSW		1			
146	wlv-618136		6.1.8.136		aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838		Schwarzlay		k.A.	k.A.	Edelberg		15		110-200	hängig	W		1			
147	wlv-618137		6.1.8.137		aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838		Schwarzlay		k.A.	k.A.	Ellergrub		7		110-280	steil	WSW-W		1			
148	wlv-618138		6.1.8.138		aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838		Schwarzlay		k.A.	k.A.	Herrenberg		16		110-240	steil	WSW		1			
149	wlv-618139		6.1.8.139		aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838		Schwarzlay		k.A.	k.A.	Monteneubel		14		120-240	steil	SSO-WSW		1			
150	wlv-618140		6.1.8.140		aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838		Schwarzlay		k.A.	k.A.	Steffensberg		35		115-300	steil	S		1			
151	wlv-618141		6.1.8.141		aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838		Schwarzlay		k.A.	k.A.	Weinkammer		1		140-260	steil	WSW+S		1			
152	wlv-618142		6.1.8.142		aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838		Schwarzlay		k.A.	k.A.	Zeppwingert		9		110-260	steil	WSW		1			
153	wlv-618143		6.1.8.143		aktuell	Einzellage	Mosel	Bernkastel	Erden	Q565749		Schwarzlay		k.A.	k.A.	Busslay		62		110-170	hängig	NW		1			
154	wlv-618144		6.1.8.144		aktuell	Einzellage	Mosel	Bernkastel	Erden	Q565749		Schwarzlay		k.A.	k.A.	Herrenberg		12		220-300	hängig	S		1			
155	wlv-618145		6.1.8.145		aktuell	Einzellage	Mosel	Bernkastel	Erden	Q565749		Schwarzlay		k.A.	k.A.	Prälat		2		110-220	steil	S		1			
156	wlv-618146		6.1.8.146		aktuell	Einzellage	Mosel	Bernkastel	Erden	Q565749		Schwarzlay		k.A.	k.A.	Treppchen		36		110-220	hängig-steil	S		1			
157	wlv-618147		6.1.8.147		aktuell	Einzellage	Mosel	Bernkastel	Hupperath	Q565320		Schwarzlay		k.A.	k.A.	Klosterweg		12		250-310	hängig-steil	SO		1			
158	wlv-618148		6.1.8.148		aktuell	Einzellage	Mosel	Bernkastel	Bausendorf	Q569296		Schwarzlay		k.A.	k.A.	Hubertuslay		37		170-280	hängig-steil	S		1			
159	wlv-618149		6.1.8.149		aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514		Schwarzlay		k.A.	k.A.	Rosenberg		46		195-260	steil	OSO		1			
160	wlv-618150		6.1.8.150		aktuell	Einzellage	Mosel	Bernkastel	Lösnich	Q510820		Schwarzlay		k.A.	k.A.	Burgberg		22		100-200	hängig-steil	NO		1			
161	wlv-618151		6.1.8.151		aktuell	Einzellage	Mosel	Bernkastel	Lösnich	Q510820		Schwarzlay		k.A.	k.A.	Fürsterlay		9		120-220	hängig-steil	SW		1			
162	wlv-618152		6.1.8.152		aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313		Schwarzlay		k.A.	k.A.	Klosterberg		10		160-290	hängig	ONO-SSO		1			
163	wlv-618153		6.1.8.153		aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313		Schwarzlay		k.A.	k.A.	Auf der Heide		1		260-300	steil	WSW		1			
164	wlv-618154		6.1.8.154		aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919		Schwarzlay		k.A.	k.A.	Burgberg		2		120-280	steil	WSW		1			
165	wlv-618155		6.1.8.155		aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919		Schwarzlay		k.A.	k.A.	Gaispfad		3		140-320	steil	W		1			
166	wlv-618156		6.1.8.156		aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313		Schwarzlay		k.A.	k.A.	Goldgrube		8		120-160	steil	WSW		1			
167	wlv-618157		6.1.8.157		aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919		Schwarzlay		k.A.	k.A.	Hühnerberg		3		100-280	steil	SSW		1			
168	wlv-618158		6.1.8.158		aktuell	Einzellage	Mosel	Bernkastel	Springiersbach	Q547805		Schwarzlay		k.A.	k.A.	Klosterberg		15		170-210	hängig-steil	SW		1			
169	wlv-618159		6.1.8.159		aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919		Schwarzlay		k.A.	k.A.	Känigsberg		12		180-240	hängig-steil	ONO-S		1			
170	wlv-618160		6.1.8.160		aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919		Schwarzlay		k.A.	k.A.	Kräuterhaus		14		100-200	hängig	SSW		1			
171	wlv-618161		6.1.8.161		aktuell	Einzellage	Mosel	Bernkastel	Starkenburg	Q682031		Schwarzlay		k.A.	k.A.	Rosengarten		1		200-300	steil	WSW		1			
172	wlv-618162		6.1.8.162		aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313		Schwarzlay		k.A.	k.A.	Schatzgarten		27		140-180	hängig-steil	NO-OSO		1			
173	wlv-618163		6.1.8.163		aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919		Schwarzlay		k.A.	k.A.	Schloßberg		12		100-260	hängig-steil	SW-W+S		1			
174	wlv-618164		6.1.8.164		aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313		Schwarzlay		k.A.	k.A.	Sonnenlay		8		140-220	steil	OSO-SO		1			
175	wlv-618165		6.1.8.165		aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919		Schwarzlay		k.A.	k.A.	Taubenhaus		8		120-220	hängig-steil	O-OSO		1			
176	wlv-618166		6.1.8.166		aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919		Schwarzlay		k.A.	k.A.	Ungsberg		2		100-280	steil	SW		1			
177	wlv-618167		6.1.8.167		aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919		Schwarzlay		k.A.	k.A.	Würzgarten		30		120-220	hängig	W		1			
178	wlv-618168		6.1.8.168		aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919		Schwarzlay		k.A.	k.A.	Zollturm		3		140-320	steil	WNW		1			
179	wlv-618169		6.1.8.169		aktuell	Einzellage	Mosel	Bernkastel	Ürzig	Q335018		Schwarzlay		k.A.	k.A.	Würzgarten		52		110-220	hängig-steil	OSO-S		1			
180	wlv-618170		6.1.8.170		aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514		Schwarzlay		k.A.	k.A.	Bottchen		4		200-260	steil	OSO		1			
181	wlv-618171		6.1.8.171		aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514		Schwarzlay		k.A.	k.A.	Felsentreppchen		3		220-260	steil	OSO		1			
182	wlv-618172		6.1.8.172		aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514		Schwarzlay		k.A.	k.A.	Lay		10		220-260	hängig	S+W		1			
183	wlv-618173		6.1.8.173		aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514		Schwarzlay		k.A.	k.A.	Portnersberg		17		190-270	steil	SO-SSO		1			
184	wlv-618174		6.1.8.174		aktuell	Einzellage	Mosel	Bernkastel	Ürzig	Q335018		Schwarzlay		k.A.	k.A.	Goldwingert		1		110-150	steil	S		1			
185	wlv-618175		6.1.8.175		aktuell	Einzellage	Mosel	Bernkastel	Kinheim	Q656236		Schwarzlay		k.A.	k.A.	Römerhang		24		110-180	hängig-steil	NO		1			
186	wlv-619000		6.1.9		aktuell	Großlage	Mosel	Bernkastel	Reil	Q656264		Vom heißen Stein		k.A.	k.A.	k.A.		314		90-260				1			
187	wlv-619176		6.1.9.176		aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192		Vom heißen Stein		k.A.	k.A.	Herzchen		41		95-180	hängig-steil	SW-SSW		1			
188	wlv-619177		6.1.9.177		aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192		Vom heißen Stein		k.A.	k.A.	Nonnengarten		15		120-240	hängig-steil	SO		1			
189	wlv-619178		6.1.9.178		aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192		Vom heißen Stein		k.A.	k.A.	Schäferlay		7		90-175	hängig-steil	WSW		1			
190	wlv-619179		6.1.9.179		aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192		Vom heißen Stein		k.A.	k.A.	Schelm		20		95-120	hängig	ONO		1			
191	wlv-619180		6.1.9.180		aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192		Vom heißen Stein		k.A.	k.A.	Weisser Berg		38		90-175		SW		1			
192	wlv-619181		6.1.9.181		aktuell	Einzellage	Mosel	Bernkastel	Pünderich	Q567287		Vom heißen Stein		k.A.	k.A.	Goldlay		19		100-180	hängig	NO		1			
193	wlv-619182		6.1.9.182		aktuell	Einzellage	Mosel	Bernkastel	Pünderich	Q567287		Vom heißen Stein		k.A.	k.A.	Marienburg		52		98-230	hängig-steil	O-S-W		1			
194	wlv-619183		6.1.9.183		aktuell	Einzellage	Mosel	Bernkastel	Pünderich	Q567287		Vom heißen Stein		k.A.	k.A.	Nonnengarten		9		100-180	hängig-steil	SSW		1			
195	wlv-619184		6.1.9.184		aktuell	Einzellage	Mosel	Bernkastel	Pünderich	Q567287		Vom heißen Stein		k.A.	k.A.	Rosenberg		24		100-230	hängig	W		1			
196	wlv-619185		6.1.9.185		aktuell	Einzellage	Mosel	Bernkastel	Reil	Q656264		Vom heißen Stein		k.A.	k.A.	Falklay		31		110-280	hängig-steil	O		1			
197	wlv-619186		6.1.9.186		aktuell	Einzellage	Mosel	Bernkastel	Reil	Q656264		Vom heißen Stein		k.A.	k.A.	Goldlay		17		100-260	hängig-steil	W		1			
198	wlv-619187		6.1.9.187		aktuell	Einzellage	Mosel	Bernkastel	Reil	Q656264		Vom heißen Stein		k.A.	k.A.	Moullay-Hofberg		40		110-260	hängig-steil	ONO-SO		1			
199	wlv-619188		6.1.9.188		aktuell	Einzellage	Mosel	Bernkastel	Reil	Q656264		Vom heißen Stein		k.A.	k.A.	Sorentberg		1		140-260	steil	S		1			
200	wlv-611000		6.1.10		aktuell	Großlage	Mosel	Bernkastel	k.A.	k.A.		Römerlay		k.A.	k.A.	k.A.		114						1			
201	wlv-6110189		6.1.10.189		aktuell	Einzellage	Mosel	Bernkastel	Kürenz	Q883351		Römerlay		Avelsbach	k.A.	Altenberg		10		160-240	steil	S-SW		1		1	
202	wlv-6110190		6.1.10.190		aktuell	Einzellage	Mosel	Bernkastel	Tarforst	Q328287		Römerlay		k.A.	k.A.	Andreasberg		1		190-240	hängig	SO-SW		1			
203	wlv-6110191		6.1.10.191		aktuell	Einzellage	Mosel	Bernkastel	Biewer	Q245974		Römerlay		k.A.	k.A.	Augenscheiner		3		140-150	hängig	SSO		1			
204	wlv-6110192		6.1.10.192		aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323		Römerlay		k.A.	k.A.	Benediktinerberg		3		165-190	hängig-steil	SW		1			
205	wlv-6110193		6.1.10.193		aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323		Römerlay		k.A.	k.A.	Burgberg		8		160-200	hängig-steil	S-SW		1			
206	wlv-6110194		6.1.10.194		aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138		Römerlay		k.A.	k.A.	Deutschherrenberg		13		160-250	hängig	S-WSW		1			
207	wlv-6110195		6.1.10.195	290	aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138		Römerlay		k.A.	k.A.	Deutschherrenköpfchen		1		150-200	steil	S-SSW		1			
208	wlv-6110196		6.1.10.196		aktuell	Einzellage	Mosel	Bernkastel	Ruwer	Q316811		Römerlay		k.A.	k.A.	Domherrenberg		11		160-250	hängig-steil	WNW-NW		1			
209	wlv-6110197		6.1.10.197		aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138		Römerlay		k.A.	k.A.	Hammerstein		17		240-280	hängig-steil	SSW		1			
210	wlv-6110198		6.1.10.198		aktuell	Einzellage	Mosel	Bernkastel	Kürenz	Q883351		Römerlay		k.A.	k.A.	Herrenberg		7		230-280	hängig-steil	SW		1			
211	wlv-6110199		6.1.10.199		aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323		Römerlay		k.A.	k.A.	Jesuitenwingert		10		160-200	hängig-steil	SO-SSO		1			
212	wlv-6110200		6.1.10.200		aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323		Römerlay		k.A.	k.A.	Kurfürstenhofberg		2		160-190	hängig-steil	S-SSW		1			
213	wlv-6110201		6.1.10.201		aktuell	Einzellage	Mosel	Bernkastel	Tarforst	Q328287		Römerlay		k.A.	k.A.	St. Martiner Hofberg		2		180-250	steil	SW		1			
214	wlv-6110202		6.1.10.202		aktuell	Einzellage	Mosel	Bernkastel	Matthias	Q877660		Römerlay		k.A.	k.A.	St. Matheiser		6		160-220	hängig	S-W		1			
215	wlv-6110203		6.1.10.203		aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138		Römerlay		k.A.	k.A.	St. Maximiner Kreuzberg		12		150-230	hängig-steil	WNW		1			
216	wlv-6110204		6.1.10.204		aktuell	Einzellage	Mosel	Bernkastel	Kernscheid	Q650102		Römerlay		k.A.	k.A.	St. Petrusberg		1		190-240	steil	WSW		1			
217	wlv-6110205		6.1.10.205		aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323		Römerlay		k.A.	k.A.	Thiergarten Unterm Kreuz		2		180-200	hängig-steil	S-SW		1			
218	wlv-6110206		6.1.10.206		aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323		Römerlay		k.A.	k.A.	Thiergarten Felsköpfchen		1		180-200	steil	S-SW		1			
219	wlv-6110207		6.1.10.207		aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138		Römerlay		k.A.	k.A.	St. Martiner Klosterberg		2		160-200	steil	S+SO+WS		1			
220	wlv-6110208		6.1.10.208		aktuell	Einzellage	Mosel	Bernkastel	k.A.	k.A.		Römerlay		k.A.	k.A.	k.A.		2		240-280	steil	SSW		1			
221	wlv-620000		6.2		aktuell	Bereich	Mosel	Obermosel	k.A.	k.A.		k.A.		k.A.	k.A.	k.A.		711		130-350				1			
222	wlv-621000		6.2.1		aktuell	Großlage	Mosel	Obermosel	Nittel	Q594609		Gipfel		k.A.	k.A.	k.A.		643		130-350				1			
223	wlv-621001		6.2.1.001		aktuell	Einzellage	Mosel	Obermosel	Fellerich	Q1404048		Gipfel		k.A.	k.A.	Schleidberg		11		266-300	hängig-steil	OSO		1			
224	wlv-621002		6.2.1.002		aktuell	Einzellage	Mosel	Obermosel	Helfant	Q636128		Gipfel		k.A.	k.A.	Kapellenberg		18		150-250	hängig	S-SO		1			
225	wlv-621003		6.2.1.003		aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609		Gipfel		k.A.	k.A.	k.A.		7		130-350				1			
226	wlv-621004		6.2.1.004		aktuell	Einzellage	Mosel	Obermosel	Kreuzweiler	Q636128		Gipfel		k.A.	k.A.	Schloß Thorner Kupp		8		150-250	hängig	SO-S		1			
227	wlv-621005		6.2.1.005		aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609		Gipfel		k.A.	k.A.	Blümchen		24		140-300	hängig-steil	SSW		1			
228	wlv-621006		6.2.1.006		aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609		Gipfel		k.A.	k.A.	Leiterchen		39		140-270	hängig-steil	SW		1			
229	wlv-621007		6.2.1.007		aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609		Gipfel		k.A.	k.A.	Rochusfels		116		140-300	hängig-steil	WNW		1			
230	wlv-621008		6.2.1.008		aktuell	Einzellage	Mosel	Obermosel	Oberbillig	Q636185		Gipfel		k.A.	k.A.	Hirtengarten		25		200-250	hängig-steil	WNW		1			
231	wlv-621009		6.2.1.009		aktuell	Einzellage	Mosel	Obermosel	Oberbillig	Q636185		Gipfel		k.A.	k.A.	Römerberg		12		150-220	hängig-steil	WNW		1			
232	wlv-621010		6.2.1.010		aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609		Gipfel		k.A.	k.A.	Hubertusberg		11		290-350	hängig-steil	SO		1			
233	wlv-621011		6.2.1.011		aktuell	Einzellage	Mosel	Obermosel	Palzem	Q636128		Gipfel		k.A.	k.A.	Carlsfelsen		33		200-250	hängig-steil	NW		1			
234	wlv-621012		6.2.1.012		aktuell	Einzellage	Mosel	Obermosel	Palzem	Q636128		Gipfel		k.A.	k.A.	Lay		69		150-200	hängig-steil	SO-SW		1			
235	wlv-621013		6.2.1.013		aktuell	Einzellage	Mosel	Obermosel	Rehlingen	Q594609		Gipfel		k.A.	k.A.	Kapellenberg		58		130-250	hängig-steil	SW-W		1			
236	wlv-621014		6.2.1.014		aktuell	Einzellage	Mosel	Obermosel	Temmels	Q636175		Gipfel		k.A.	k.A.	St. Georgshof		36		140-180	hängig-steil	WNW+SW		1			
237	wlv-621015		6.2.1.015		aktuell	Einzellage	Mosel	Obermosel	Wasserliesch	Q553357		Gipfel		k.A.	k.A.	Albachtaler		7		150-200	hängig	SO+WNW		1			
238	wlv-621016		6.2.1.016		aktuell	Einzellage	Mosel	Obermosel	Wasserliesch	Q553357		Gipfel		k.A.	k.A.	Reinig auf der Burg		7		140-150	flach	SO+WNW		1			
239	wlv-621017		6.2.1.017		aktuell	Einzellage	Mosel	Obermosel	Wehr	Q636128		Gipfel		k.A.	k.A.	Rosenberg		33		130-190	hängig-steil	S-W-WNW		1			
240	wlv-621018		6.2.1.018		aktuell	Einzellage	Mosel	Obermosel	Wellen	Q636208		Gipfel		k.A.	k.A.	Altenberg		13		140-260	hängig-steil	SW-NW		1			
241	wlv-621019		6.2.1.019		aktuell	Einzellage	Mosel	Obermosel	Wincheringen	Q543611		Gipfel		k.A.	k.A.	Burg Warsberg		115		200-250	hängig-steil	S		1			
242	wlv-622000		6.2.2		aktuell	Großlage	Mosel	Obermosel	Mesenich	Q610893		Königsberg		k.A.	k.A.	k.A.		68		130-270	hängig-steil	S		1			
243	wlv-622020		6.2.2.020		aktuell	Einzellage	Mosel	Obermosel	Mesenich	Q610893		Königsberg		k.A.	k.A.	k.A.		31		130-270	hängig-steil	S		1			
244	wlv-622021		6.2.2.021		aktuell	Einzellage	Mosel	Obermosel	Igel	Q543497		Königsberg		k.A.	k.A.	Dullgärten		6		160-200	hängig-steil	SSW		1			
245	wlv-622022		6.2.2.022		aktuell	Einzellage	Mosel	Obermosel	Langsur	Q610893		Königsberg		k.A.	k.A.	Brüderberg		22		130-170	hängig-steil	S-SW		1			
246	wlv-622023		6.2.2.023		aktuell	Einzellage	Mosel	Obermosel	Liersberg	Q20820333		Königsberg		k.A.	k.A.	Pilgerberg		4		259-270	hängig-steil	SSO		1			
247	wlv-622024		6.2.2.024		aktuell	Einzellage	Mosel	Obermosel	Mesenich	Q610893		Königsberg		k.A.	k.A.	Held		5		140-240	hängig-steil	SW		1			
248	wlv-630000		6.3		aktuell	Bereich	Mosel	Burg Cochem	k.A.	k.A.		k.A.		k.A.	k.A.	k.A.		2954		65-270				1			
249	wlv-631001		6.3.1.001		aktuell	Einzellage	Mosel	Burg Cochem	Bruttig	Q574161		Goldbäumchen		k.A.	k.A.	k.A.		313		75-260				1			
250	wlv-631002		6.3.1.002		aktuell	Einzellage	Mosel	Burg Cochem	Bruttig-Fankel	Q574161		Goldbäumchen		k.A.	k.A.	Götterlay		10		70-160	steil	O-SO		1			
251	wlv-631003		6.3.1.003		aktuell	Einzellage	Mosel	Burg Cochem	Sehl	Q502749		Goldbäumchen		k.A.	k.A.	Bischofsstuhl		1		100-190	steil	W		1			
252	wlv-631004		6.3.1.004		aktuell	Einzellage	Mosel	Burg Cochem	Cochem	Q502749		Goldbäumchen		k.A.	k.A.	Herrenberg		4		100-200	steil	SO		1			
253	wlv-631005		6.3.1.005		aktuell	Einzellage	Mosel	Burg Cochem	Sehl	Q502749		Goldbäumchen		k.A.	k.A.	Hochlay		1		110-180	steil	OSO		1			
254	wlv-631006		6.3.1.006		aktuell	Einzellage	Mosel	Burg Cochem	Sehl	Q502749		Goldbäumchen		k.A.	k.A.	Klostergarten		7		90-200	hängig-steil	SW		1			
255	wlv-631007		6.3.1.007		aktuell	Einzellage	Mosel	Burg Cochem	Cochem	Q502749		Goldbäumchen		k.A.	k.A.	Pinnerkreuzberg		1		90-230	steil	S-SW		1			
256	wlv-631008		6.3.1.008		aktuell	Einzellage	Mosel	Burg Cochem	Cochem	Q502749		Goldbäumchen		k.A.	k.A.	Schloßberg		4		130-230	hängig-steil	SO		1			
257	wlv-631009		6.3.1.009		aktuell	Einzellage	Mosel	Burg Cochem	Sehl	Q502749		Goldbäumchen		k.A.	k.A.	Sonnenberg		2		100-190	steil	W-WNW		1			
258	wlv-631010		6.3.1.010		aktuell	Einzellage	Mosel	Burg Cochem	Briedern	Q1517		Goldbäumchen		k.A.	k.A.	Domherrenberg		19		85-170	steil	SO		1			
259	wlv-631011		6.3.1.011		aktuell	Einzellage	Mosel	Burg Cochem	Ellenz-Polterdorf	Q566958		Goldbäumchen		k.A.	k.A.	Altarberg		46		80-165	hängig-steil	S		1			
260	wlv-631012		6.3.1.012		aktuell	Einzellage	Mosel	Burg Cochem	Ernst	Q567608		Goldbäumchen		k.A.	k.A.	Feuerberg		22		80-180	hängig	W-NW		1			
261	wlv-631013		6.3.1.013		aktuell	Einzellage	Mosel	Burg Cochem	Ernst	Q567608		Goldbäumchen		k.A.	k.A.	Kirchlay		28		60-90	flach			1			
262	wlv-631014		6.3.1.014		aktuell	Einzellage	Mosel	Burg Cochem	Klotten	Q269397		Goldbäumchen		k.A.	k.A.	Brauneberg		6		87-260	steil	S		1			
263	wlv-631015		6.3.1.015		aktuell	Einzellage	Mosel	Burg Cochem	Klotten	Q269397		Goldbäumchen		k.A.	k.A.	Burg Coreidelsteiner		11		87-187	hängig	SO		1			
264	wlv-631016		6.3.1.016		aktuell	Einzellage	Mosel	Burg Cochem	Klotten	Q269397		Goldbäumchen		k.A.	k.A.	Rosenberg		5		87-200	steil	SSO-SW		1			
265	wlv-631017		6.3.1.017		aktuell	Einzellage	Mosel	Burg Cochem	Pommern	Q665867		Goldbäumchen		k.A.	k.A.	Rosenberg		22		80-150	hängig-steil	S		1			
266	wlv-631018		6.3.1.018		aktuell	Einzellage	Mosel	Burg Cochem	Moselkern	Q651263		Goldbäumchen		k.A.	k.A.	Übereltzer		1		80-140	steil	SSO		1			
267	wlv-631019		6.3.1.019		aktuell	Einzellage	Mosel	Burg Cochem	Müden	Q680967		Goldbäumchen		k.A.	k.A.	Funkenberg		27		78-200	hängig-steil	SSO		1			
268	wlv-631020		6.3.1.020		aktuell	Einzellage	Mosel	Burg Cochem	Müden	Q680967		Goldbäumchen		k.A.	k.A.	St. Castorhöhle		11		80-160	hängig-steil	S		1			
269	wlv-631021		6.3.1.021		aktuell	Einzellage	Mosel	Burg Cochem	Pommern	Q665867		Goldbäumchen		k.A.	k.A.	Goldberg		8		80-150	hängig-steil	S		1			
270	wlv-631022		6.3.1.022		aktuell	Einzellage	Mosel	Burg Cochem	Pommern	Q665867		Goldbäumchen		k.A.	k.A.	Sonnenuhr		18		80-150	hängig-steil	S		1			
271	wlv-631023		6.3.1.023		aktuell	Einzellage	Mosel	Burg Cochem	Karden	Q656110		Goldbäumchen		k.A.	k.A.	Dechantsberg		2		80-180	steil	S		1			
272	wlv-631024		6.3.1.024		aktuell	Einzellage	Mosel	Burg Cochem	Karden	Q656110		Goldbäumchen		k.A.	k.A.	Juffermauer		2		80-150	hängig-steil	OSO		1			
273	wlv-631025		6.3.1.025		aktuell	Einzellage	Mosel	Burg Cochem	Karden	Q656110		Goldbäumchen		k.A.	k.A.	Münsterberg		1		80-200	hängig-steil	S=-S		1			
274	wlv-631026		6.3.1.026		aktuell	Einzellage	Mosel	Burg Cochem	Ellenz-Polterdorf	Q566958		Goldbäumchen		k.A.	k.A.	Kurfürst		48		80-105	hängig	SO		1			
275	wlv-631027		6.3.1.027		aktuell	Einzellage	Mosel	Burg Cochem	Pommern	Q665867		Goldbäumchen		k.A.	k.A.	Zeisel		6		80-150	hängig-steil	S		1			
276	wlv-632000		6.3.2		aktuell	Großlage	Mosel	Burg Cochem	Zell	Q187500		Grafschaft		k.A.	k.A.	k.A.		288		80-280				1			
277	wlv-632028		6.3.2.028		aktuell	Einzellage	Mosel	Burg Cochem	Alf	Q568556		Grafschaft		k.A.	k.A.	Burggraf		5		95-150	hängig-steil	S-SSW		1			
278	wlv-632029		6.3.2.029		aktuell	Einzellage	Mosel	Burg Cochem	Alf	Q568556		Grafschaft		k.A.	k.A.	Herrenberg		3		95-150	hängig-steil	SSO		1			
279	wlv-632030		6.3.2.030		aktuell	Einzellage	Mosel	Burg Cochem	Alf	Q568556		Grafschaft		k.A.	k.A.	Hälle		3		100-120	steil	ONO		1			
280	wlv-632031		6.3.2.031		aktuell	Einzellage	Mosel	Burg Cochem	Alf	Q568556		Grafschaft		k.A.	k.A.	Kapellenberg		2		95-120	hängig-steil	O-SO		1			
281	wlv-632032		6.3.2.032		aktuell	Einzellage	Mosel	Burg Cochem	Alf	Q568556		Grafschaft		k.A.	k.A.	Katzenkopf		1		95-150	hängig-steil	SO		1			
282	wlv-632033		6.3.2.033		aktuell	Einzellage	Mosel	Burg Cochem	Alf	Q568556		Grafschaft		k.A.	k.A.	Kronenberg		2		100-180	hängig-steil	SW		1			
283	wlv-632034		6.3.2.034		aktuell	Einzellage	Mosel	Burg Cochem	Bremm	Q113378		Grafschaft		k.A.	k.A.	Calmont		19		94-280	hängig-steil	S		1			
284	wlv-632035		6.3.2.035		aktuell	Einzellage	Mosel	Burg Cochem	Bremm	Q113378		Grafschaft		k.A.	k.A.	Laurentiusberg		16		95-275	hängig-steil	NO-S		1			
285	wlv-632036		6.3.2.036		aktuell	Einzellage	Mosel	Burg Cochem	Bremm	Q113378		Grafschaft		k.A.	k.A.	Schlemmertröpfchen		12		100-280	hängig-steil	OSO		1			
286	wlv-632037		6.3.2.037		aktuell	Einzellage	Mosel	Burg Cochem	Bremm	Q113378		Grafschaft		k.A.	k.A.	Frauenberg		16		95-180	steil	SW		1			
287	wlv-632038		6.3.2.038		aktuell	Einzellage	Mosel	Burg Cochem	Bullay	Q546257		Grafschaft		k.A.	k.A.	Brautrock		11		100-210	hängig-steil	S-W		1			
288	wlv-632039		6.3.2.039		aktuell	Einzellage	Mosel	Burg Cochem	Bullay	Q546257		Grafschaft		k.A.	k.A.	Graf Beyßel-Herrenberg		6		105-240	steil	S-W		1			
