LN	WLV-ID	LWK-RLP (Lagennr.)	DWI (Reg.Nr.)	Weinlagen (ID)	Status	Typ	Gebiet	Bereich	Leitgemeinde	Wikidata-ID (Leitgemeinde)	Gemarkung	Großlage	Wikidata-ID (Großlage)	Ort	Wikidata-ID (Ort)	Einzellage	Wikidata-ID (Einzellage)	Rebfläche (DWI, 2006)	Rebfläche (LWK-RLP, 2020)	über NN (DWI)	Neigung (DWI)	Exposition (DWI)	Boden (DWI)	DWI-2006	LWK-RLP-2020	Weinlagen-2022	DFWS-2022
31	wlv-612027		6.1.2.027		aktuell	Einzellage	Mosel	Bernkastel	Maring-Noviand	Q566744		Kurfürstenlay		k.A.	k.A.	Sonnenuhr		35		140-240	hängig-steil	SW		1			
32	wlv-612028		6.1.2.028		aktuell	Einzellage	Mosel	Bernkastel	Mühlheim	Q667192		Kurfürstenlay		k.A.	k.A.	Amtgarten		1		110-113	hängig	NW		1			
33	wlv-612029		6.1.2.029		aktuell	Einzellage	Mosel	Bernkastel	Mühlheim	Q667192		Kurfürstenlay		k.A.	k.A.	Elisenberg		4		180-210	hängig-steil	SW		1			
34	wlv-612030		6.1.2.030		aktuell	Einzellage	Mosel	Bernkastel	Mühlheim	Q667192		Kurfürstenlay		k.A.	k.A.	Helenenkloster		1		125-140	hängig	SW		1			
35	wlv-612031		6.1.2.031		aktuell	Einzellage	Mosel	Bernkastel	Mühlheim	Q667192		Kurfürstenlay		k.A.	k.A.	Sonnenlay		52		130-260	hängig-steil	W		1			
36	wlv-612032		6.1.2.032		aktuell	Einzellage	Mosel	Bernkastel	Monzel	Q648793		Kurfürstenlay		k.A.	k.A.	Kätzchen		81		150-300	hängig-steil	S		1			
37	wlv-612033		6.1.2.033		aktuell	Einzellage	Mosel	Bernkastel	Osann	Q648793		Kurfürstenlay		k.A.	k.A.	Kirchlay		18		221-255	hängig-steil	S-SSW		1			
38	wlv-612034		6.1.2.034		aktuell	Einzellage	Mosel	Bernkastel	Monzel	Q648793		Kurfürstenlay		k.A.	k.A.	Paulinslay		33		160-320	hängig	NW		1			
39	wlv-612035		6.1.2.035		aktuell	Einzellage	Mosel	Bernkastel	Osann	Q648793		Kurfürstenlay		k.A.	k.A.	Rosenberg		92		160-320	hängig-steil	S-WSW		1			
40	wlv-612036		6.1.2.036		aktuell	Einzellage	Mosel	Bernkastel	Veldenz	Q569812		Kurfürstenlay		k.A.	k.A.	Carlsberg		1		140-150	hängig	SW		1			
41	wlv-612037		6.1.2.037		aktuell	Einzellage	Mosel	Bernkastel	Veldenz	Q569812		Kurfürstenlay		k.A.	k.A.	Grafschafter Sonnenberg		30		140-260	hängig-steil	O		1			
42	wlv-612038		6.1.2.038		aktuell	Einzellage	Mosel	Bernkastel	Veldenz	Q569812		Kurfürstenlay		k.A.	k.A.	Kirchberg		67		140-300	hängig-steil	S-SW		1			
43	wlv-612039		6.1.2.039		aktuell	Einzellage	Mosel	Bernkastel	Veldenz	Q569812		Kurfürstenlay		k.A.	k.A.	Mühlberg		1		180-220	steil	S-W		1			
44	wlv-612040		6.1.2.040		aktuell	Einzellage	Mosel	Bernkastel	Wintrich	Q373778		Kurfürstenlay		k.A.	k.A.	Großer Herrgott		94		120-200	hängig-steil	S-W-NW		1			
45	wlv-612041		6.1.2.041		aktuell	Einzellage	Mosel	Bernkastel	Wintrich	Q373778		Kurfürstenlay		k.A.	k.A.	Ohligsberg		7		120-220	hängig-steil	SW-W		1			
46	wlv-612042		6.1.2.042		aktuell	Einzellage	Mosel	Bernkastel	Wintrich	Q373778		Kurfürstenlay		k.A.	k.A.	Stefanslay		47		115-200	hängig	WNW		1			
47	wlv-612043		6.1.2.043		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622		Kurfürstenlay		k.A.	k.A.	Stephanus-Rosengärtchen		1		150-250	steil	SW		1			
48	wlv-612044		6.1.2.044		aktuell	Einzellage	Mosel	Bernkastel	Wintrich	Q373778		Kurfürstenlay		k.A.	k.A.	Geierslay		4		110-260	steil	W		1			
49	wlv-612045		6.1.2.045		aktuell	Einzellage	Mosel	Bernkastel	Lieser	Q646892		Kurfürstenlay		k.A.	k.A.	Rosenlay		17		110-200	hängig-steil	S-SW		1			
50	wlv-612046		6.1.2.046		aktuell	Einzellage	Mosel	Bernkastel	Lieser	Q646892		Kurfürstenlay		k.A.	k.A.	Niederberg-Helden		29		120-240	steil	SSW		1			
51	wlv-612047		6.1.2.047		aktuell	Einzellage	Mosel	Bernkastel	k.A.	k.A.		Kurfürstenlay		k.A.	k.A.	k.A.		11		180-210	hängig-steil	SW		1			
52	wlv-612048		6.1.2.048		aktuell	Einzellage	Mosel	Bernkastel	Andel	Q155622		Kurfürstenlay		k.A.	k.A.	Goldschatz		4		110-150	hängig	NNO		1			
53	wlv-612049		6.1.2.049		aktuell	Einzellage	Mosel	Bernkastel	Maring-Noviand	Q566744		Kurfürstenlay		k.A.	k.A.	Lambertuslay		32		150-240	hängig-steil	SO		1			
54	wlv-613000		6.1.3		aktuell	Großlage	Mosel	Bernkastel	Piesport	Q375762		Michelsberg		k.A.	k.A.	k.A.		1106		110-300				1			
55	wlv-613050		6.1.3.050		aktuell	Einzellage	Mosel	Bernkastel	Minheim	Q524796		Michelsberg		k.A.	k.A.	Burglay		17		120-260	hängig-steil	O-S		1			
56	wlv-613051		6.1.3.051		aktuell	Einzellage	Mosel	Bernkastel	Minheim	Q524796		Michelsberg		k.A.	k.A.	Kapellchen		47		120-220	hängig-steil	ONO-SO		1			
57	wlv-613052		6.1.3.052		aktuell	Einzellage	Mosel	Bernkastel	Minheim	Q524796		Michelsberg		k.A.	k.A.	Rosenberg		70		120-220	hängig-steil	SO		1			
58	wlv-613053		6.1.3.053		aktuell	Einzellage	Mosel	Bernkastel	Neumagen	Q572352		Michelsberg		k.A.	k.A.	Engelgrube		53		120-170	hängig	W		1			
59	wlv-613054		6.1.3.054		aktuell	Einzellage	Mosel	Bernkastel	Piesport	Q375762		Michelsberg		k.A.	k.A.	Grafenberg		8		120-250	steil	O-OSO		1			
60	wlv-613055		6.1.3.055		aktuell	Einzellage	Mosel	Bernkastel	Dhron	Q572352		Michelsberg		k.A.	k.A.	Großer Hengelberg		1		140-180	steil	SSW		1			
61	wlv-613056		6.1.3.056		aktuell	Einzellage	Mosel	Bernkastel	Dhron	Q572352		Michelsberg		k.A.	k.A.	Hofberger		85		120-200	steil	SW		1			
62	wlv-613057		6.1.3.057		aktuell	Einzellage	Mosel	Bernkastel	Neumagen	Q572352		Michelsberg		k.A.	k.A.	Laudamusberg		27		120-260	hängig-steil	SSW-W		1			
63	wlv-613058		6.1.3.058		aktuell	Einzellage	Mosel	Bernkastel	Neumagen	Q572352		Michelsberg		k.A.	k.A.	Rosengärtchen		26		120-265	steil	SW-W		1			
64	wlv-613059		6.1.3.059		aktuell	Einzellage	Mosel	Bernkastel	Dhron	Q572352		Michelsberg		k.A.	k.A.	Roterd		48		120-290	hängig-steil	W		1			
65	wlv-613060		6.1.3.060		aktuell	Einzellage	Mosel	Bernkastel	Neumagen	Q572352		Michelsberg		k.A.	k.A.	Sonnenuhr		1		130-170	steil	SW		1			
66	wlv-613061		6.1.3.061		aktuell	Einzellage	Mosel	Bernkastel	Piesport	Q375762		Michelsberg		k.A.	k.A.	Domherr		4		120-150	steil	SSO		1			
67	wlv-613062		6.1.3.062		aktuell	Einzellage	Mosel	Bernkastel	Piesport	Q375762		Michelsberg		k.A.	k.A.	Falkenberg		32		150-300	hängig-steil	SO-S		1			
68	wlv-613063		6.1.3.063		aktuell	Einzellage	Mosel	Bernkastel	Niederemmel	Q375762		Michelsberg		k.A.	k.A.	Gärtchen		1		190-220	steil	SW		1			
69	wlv-613064		6.1.3.064		aktuell	Einzellage	Mosel	Bernkastel	Piesport	Q375762		Michelsberg		k.A.	k.A.	Goldtröpfchen		66		125-160	steil	SO-S-SW		1			
70	wlv-613065		6.1.3.065		aktuell	Einzellage	Mosel	Bernkastel	Piesport	Q375762		Michelsberg		k.A.	k.A.	Günterslay		27		150-290	steil	S-W		1			
71	wlv-613066		6.1.3.066		aktuell	Einzellage	Mosel	Bernkastel	Piesport	Q375762		Michelsberg		k.A.	k.A.	Schubertslay		1		125-150	steil	SSO		1			
72	wlv-613067		6.1.3.067		aktuell	Einzellage	Mosel	Bernkastel	Piesport	Q375762		Michelsberg		k.A.	k.A.	Treppchen		291		120-260	hängig-steil	O-N-W		1			
73	wlv-613068		6.1.3.068		aktuell	Einzellage	Mosel	Bernkastel	Rivenich	Q552448		Michelsberg		k.A.	k.A.	Brauneberg		6		170-237	hängig-steil	SW		1			
74	wlv-613069		6.1.3.069		aktuell	Einzellage	Mosel	Bernkastel	Rivenich	Q552448		Michelsberg		k.A.	k.A.	Geisberg		6		240-300	hängig-steil	S-W		1			
75	wlv-613070		6.1.3.070		aktuell	Einzellage	Mosel	Bernkastel	Rivenich	Q552448		Michelsberg		k.A.	k.A.	Niederberg		19		140-240	hängig-steil	S-W		1			
76	wlv-613071		6.1.3.071		aktuell	Einzellage	Mosel	Bernkastel	Rivenich	Q552448		Michelsberg		k.A.	k.A.	Rosenberg		31		220-300	hängig-steil	W-NW		1			
77	wlv-613072		6.1.3.072		aktuell	Einzellage	Mosel	Bernkastel	Trittenheim	Q662479		Michelsberg		k.A.	k.A.	Altärchen		167		120-255	hängig-steil	SSO-W		1			
78	wlv-613073		6.1.3.073		aktuell	Einzellage	Mosel	Bernkastel	Trittenheim	Q662479		Michelsberg		k.A.	k.A.	Apotheke		67		120-240	hängig-steil	WSW-S-O		1			
79	wlv-613074		6.1.3.074		aktuell	Einzellage	Mosel	Bernkastel	Trittenheim	Q662479		Michelsberg		k.A.	k.A.	Felsenkopf		1		120-140	steil	WSW		1			
80	wlv-613075		6.1.3.075		aktuell	Einzellage	Mosel	Bernkastel	Trittenheim	Q662479		Michelsberg		k.A.	k.A.	Leiterchen		1		160-180	steil	W		1			
81	wlv-613076		6.1.3.076		aktuell	Einzellage	Mosel	Bernkastel	Niederemmel	Q375762		Michelsberg		k.A.	k.A.	Kreuzwingert		1		160-210	steil	SSW		1			
82	wlv-613077		6.1.3.077		aktuell	Einzellage	Mosel	Bernkastel	Dhron	Q572352		Michelsberg		k.A.	k.A.	Häs'chen		1		120-220	steil	S		1			
83	wlv-613078		6.1.3.078		aktuell	Einzellage	Mosel	Bernkastel	Neumagen	Q572352		Michelsberg		k.A.	k.A.	Nußwingert		1		110-180	steil	OSO		1			
84	wlv-614000		6.1.4		aktuell	Großlage	Mosel	Bernkastel				Münzlay		k.A.	k.A.	k.A.		353		110-220	steil	O		1			
85	wlv-614079		6.1.4.079		aktuell	Einzellage	Mosel	Bernkastel	Graach	Q648808		Münzlay		k.A.	k.A.	Abtsberg		12		260-320	steil	SSW		1			
86	wlv-614080		6.1.4.080		aktuell	Einzellage	Mosel	Bernkastel	Graach	Q648808		Münzlay		k.A.	k.A.	Domprobst		19		130-260	steil	SW		1			
87	wlv-614081		6.1.4.081		aktuell	Einzellage	Mosel	Bernkastel	Graach	Q648808		Münzlay		k.A.	k.A.	Himmelreich		76		110-260	steil	SW		1			
88	wlv-614082		6.1.4.082		aktuell	Einzellage	Mosel	Bernkastel	Graach	Q648808		Münzlay		k.A.	k.A.	Josephshöfer		5		120-170	hängig-steil	SSW		1			
89	wlv-614083		6.1.4.083		aktuell	Einzellage	Mosel	Bernkastel	Wehlen	Q155622		Münzlay		k.A.	k.A.	Nonnenberg		45		110-240	hängig-steil	NO		1			
90	wlv-614084		6.1.4.084		aktuell	Einzellage	Mosel	Bernkastel	Wehlen	Q155622		Münzlay		k.A.	k.A.	Sonnenuhr		44		109-190	steil	SSW		1			
91	wlv-614085		6.1.4.085		aktuell	Einzellage	Mosel	Bernkastel	Zeltingen	Q189241		Münzlay		k.A.	k.A.	Deutschherrenberg		12		110-240	steil	O		1			
92	wlv-614086		6.1.4.086		aktuell	Einzellage	Mosel	Bernkastel	Zeltingen	Q189241		Münzlay		k.A.	k.A.	Himmelreich		88		110-220	hängig-steil	SW-WNW		1			
93	wlv-614087		6.1.4.087		aktuell	Einzellage	Mosel	Bernkastel	Zeltingen	Q189241		Münzlay		k.A.	k.A.	Schloßberg		16		110-220	steil	SW		1			
94	wlv-614088		6.1.4.088		aktuell	Einzellage	Mosel	Bernkastel	Zeltingen	Q189241		Münzlay		k.A.	k.A.	Sonnenuhr		17		110-160	steil	SSW		1			
95	wlv-614089		6.1.4.089		aktuell	Einzellage	Mosel	Bernkastel	Wehlen	Q155622		Münzlay		k.A.	k.A.	Klosterberg		12		210-240	steil	SO-S		1			
96	wlv-614090		6.1.4.090		aktuell	Einzellage	Mosel	Bernkastel	Wehlen	Q155622		Münzlay		k.A.	k.A.	Abtei		3		110-220	hängig-steil	ONO		1			
97	wlv-614091		6.1.4.091		aktuell	Einzellage	Mosel	Bernkastel	Wehlen	Q155622		Münzlay		k.A.	k.A.	Rosenberg		4		200-280	steil	SSW		1			
98	wlv-615000		6.1.5		aktuell	Großlage	Mosel	Bernkastel	Kröv	Q553171		Nacktarsch		k.A.	k.A.	k.A.		185		100-300				1			
99	wlv-615092		6.1.5.092		aktuell	Einzellage	Mosel	Bernkastel	Kövenig	Q1796794		Nacktarsch		k.A.	k.A.	Burglay		2		100-200	steil	O		1			
100	wlv-615093		6.1.5.093		aktuell	Einzellage	Mosel	Bernkastel	Kövenig	Q1796794		Nacktarsch		k.A.	k.A.	Herrenberg		3		110-230	hängig-steil	O		1			
101	wlv-615094		6.1.5.094		aktuell	Einzellage	Mosel	Bernkastel	Kröv	Q553171		Nacktarsch		k.A.	k.A.	Kirchlay		48		100-300	hängig-steil	SO		1			
102	wlv-615095		6.1.5.095		aktuell	Einzellage	Mosel	Bernkastel	Kröv	Q553171		Nacktarsch		k.A.	k.A.	Letterlay		21		110-170	steil	S		1			
103	wlv-615096		6.1.5.096		aktuell	Einzellage	Mosel	Bernkastel	Kröv	Q553171		Nacktarsch		k.A.	k.A.	Paradies		94		100-300	hängig-steil	SO		1			
104	wlv-615097		6.1.5.097		aktuell	Einzellage	Mosel	Bernkastel	Kröv	Q553171		Nacktarsch		k.A.	k.A.	Steffensberg		17		110-280	hängig-steil	S-SSW		1			
105	wlv-616000		6.1.6		aktuell	Großlage	Mosel	Bernkastel	Longuich	Q569606		Propstberg		k.A.	k.A.	k.A.		448		120-300				1			
106	wlv-616098		6.1.6.098		aktuell	Einzellage	Mosel	Bernkastel	Fell	Q659890		Propstberg		k.A.	k.A.	Maximiner Burgberg		80		130-300	hängig-steil	S-WNW		1			
107	wlv-616099		6.1.6.099		aktuell	Einzellage	Mosel	Bernkastel	Kenn	Q174435		Propstberg		k.A.	k.A.	Held		9		120-180	hängig-steil	OSO		1			
108	wlv-616100		6.1.6.100		aktuell	Einzellage	Mosel	Bernkastel	Kenn	Q174435		Propstberg		k.A.	k.A.	Maximiner Hofgarten		7		140-250	steil	SW-NW		1			
109	wlv-616101		6.1.6.101		aktuell	Einzellage	Mosel	Bernkastel	Longuich	Q569606		Propstberg		k.A.	k.A.	Hirschlay		107		125-150	hängig-steil	ONO-SO		1			
110	wlv-616102		6.1.6.102		aktuell	Einzellage	Mosel	Bernkastel	Longuich	Q569606		Propstberg		k.A.	k.A.	Maximiner Herrenberg		12		125-150	steil	SW		1			
111	wlv-616103		6.1.6.103		aktuell	Einzellage	Mosel	Bernkastel	Riol	Q553441		Propstberg		k.A.	k.A.	Römerberg		140		125-260	hängig	N-NO		1			
112	wlv-616104		6.1.6.104		aktuell	Einzellage	Mosel	Bernkastel	Schweich	Q212570		Propstberg		k.A.	k.A.	Annaberg		26		120-200	hängig-steil	SSW		1			
113	wlv-616105		6.1.6.105		aktuell	Einzellage	Mosel	Bernkastel	Schweich	Q212570		Propstberg		k.A.	k.A.	Burgmauer		41		150-300	hängig-steil	S-W		1			
114	wlv-616106		6.1.6.106		aktuell	Einzellage	Mosel	Bernkastel	Schweich	Q212570		Propstberg		k.A.	k.A.	Herrenberg		26		200-300	hängig-steil	SW		1			
115	wlv-617000		6.1.7		aktuell	Großlage	Mosel	Bernkastel				St. Michael		k.A.	k.A.	k.A.		1368		120-320				1			
116	wlv-617107		6.1.7.107		aktuell	Einzellage	Mosel	Bernkastel	Bekond	Q569708		St. Michael		k.A.	k.A.	Brauneberg		45		150-240	hängig-steil	SW		1			
117	wlv-617108		6.1.7.108		aktuell	Einzellage	Mosel	Bernkastel	Bekond	Q569708		St. Michael		k.A.	k.A.	Schloßberg		26		150-330	hängig-steil	SW		1			
118	wlv-617109		6.1.7.109		aktuell	Einzellage	Mosel	Bernkastel	Ensch	Q660477		St. Michael		k.A.	k.A.	Mühlenberg		56		120-250	hängig-steil	OSO-SSW		1			
119	wlv-617110		6.1.7.110		aktuell	Einzellage	Mosel	Bernkastel	Ensch	Q660477		St. Michael		k.A.	k.A.	St. Martin		23		120-220	hängig	O		1			
120	wlv-617111		6.1.7.111		aktuell	Einzellage	Mosel	Bernkastel	Ensch	Q660477		St. Michael		k.A.	k.A.	Sonnenlay		9		120-240	steil	SO		1			
121	wlv-617112		6.1.7.112		aktuell	Einzellage	Mosel	Bernkastel	Klüsserath	Q569589		St. Michael		k.A.	k.A.	Bruderschaft		186		120-280	hängig-steil	SSO-SW		1			
122	wlv-617113		6.1.7.113		aktuell	Einzellage	Mosel	Bernkastel	Köwerich	Q657740		St. Michael		k.A.	k.A.	Laurentiuslay		18		120-140	steil	SW-WSW		1			
123	wlv-617114		6.1.7.114		aktuell	Einzellage	Mosel	Bernkastel	Mehring	Q543574		St. Michael		k.A.	k.A.	Blattenberg		43		125-220	steil	S-SW		1			
124	wlv-617115		6.1.7.115		aktuell	Einzellage	Mosel	Bernkastel	Mehring	Q543574		St. Michael		k.A.	k.A.	Goldkupp		89		120-320	hängig-steil	S-SSW+N		1			
125	wlv-617116		6.1.7.116		aktuell	Einzellage	Mosel	Bernkastel	Mehring	Q543574		St. Michael		k.A.	k.A.	Zellerberg		122		125-309	hängig-steil	SSW		1			
126	wlv-617117		6.1.7.117		aktuell	Einzellage	Mosel	Bernkastel	Pölich	Q553412		St. Michael		k.A.	k.A.	Held		85		120-200	hängig-steil	S-O		1			
127	wlv-617118		6.1.7.118		aktuell	Einzellage	Mosel	Bernkastel	Schleich	Q660583		St. Michael		k.A.	k.A.	Klosterberg		6		122-170	hängig-steil	SO		1			
128	wlv-617119		6.1.7.119		aktuell	Einzellage	Mosel	Bernkastel	Schleich	Q660583		St. Michael		k.A.	k.A.	Sonnenberg		12		125-230	hängig-steil	O-S		1			
129	wlv-617120		6.1.7.120		aktuell	Einzellage	Mosel	Bernkastel	Thörnich	Q591473		St. Michael		k.A.	k.A.	Enggaß		9		120-250	steil	O-SO		1			
130	wlv-617121		6.1.7.121		aktuell	Einzellage	Mosel	Bernkastel	Thörnich	Q591473		St. Michael		k.A.	k.A.	Ritsch		15		120-250	steil	SSO-SW		1			
131	wlv-617122		6.1.7.122		aktuell	Einzellage	Mosel	Bernkastel	Thörnich	Q591473		St. Michael		k.A.	k.A.	Schießlay		105		120-200	hängig	WSW-NW		1			
132	wlv-617123		6.1.7.123		aktuell	Einzellage	Mosel	Bernkastel	Detzem	Q553394		St. Michael		k.A.	k.A.	Maximiner Klosterlay		43		120-175	hängig-steil	WSW-W		1			
133	wlv-617124		6.1.7.124		aktuell	Einzellage	Mosel	Bernkastel	Detzem	Q553394		St. Michael		k.A.	k.A.	Würzgarten		100		120-200	hängig-steil	WSW		1			
134	wlv-617125		6.1.7.125		aktuell	Einzellage	Mosel	Bernkastel	Köwerich	Q657740		St. Michael		k.A.	k.A.	Held		108		120-150	hängig			1			
135	wlv-617126		6.1.7.126		aktuell	Einzellage	Mosel	Bernkastel	Leiwen	Q681047		St. Michael		k.A.	k.A.	Klostergarten		251		120-290	hängig-steil	NO-OSO		1			
136	wlv-617127		6.1.7.127		aktuell	Einzellage	Mosel	Bernkastel	Leiwen	Q681047		St. Michael		k.A.	k.A.	Laurentiuslay		17		120-140	steil	WSW-WN		1			
137	wlv-618000		6.1.8		aktuell	Großlage	Mosel	Bernkastel	Ürzig	Q335018		Schwarzlay		k.A.	k.A.	k.A.		689		100-300				1			
138	wlv-618128		6.1.8.128		aktuell	Einzellage	Mosel	Bernkastel	Bausendorf	Q569296		Schwarzlay		k.A.	k.A.	Herzlay		1		190-290	hängig-steil	SW-SSO		1			
139	wlv-618129		6.1.8.129		aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530		Schwarzlay		k.A.	k.A.	Falklay		19		150-240	steil	WSW		1			
140	wlv-618130		6.1.8.130		aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530		Schwarzlay		k.A.	k.A.	Hahnenschrittchen		21		110-200	hängig-steil	WSW		1			
141	wlv-618131		6.1.8.131		aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530		Schwarzlay		k.A.	k.A.	Schloßberg		27		105-150	hängig	W		1			
